ITEM   , LEN_P , LEN_L ,   N   ,   PN   ,  AOA  ,  AOA2  ,  IMG  ,  IMG2  
aftermath,7,9,0,0,NA,NA,NA,NA
aftermaths,NA,10,0,NA,NA,NA,NA,NA
afternoon,7,9,0,0,281,NA,513,NA
afternoons,8,10,0,0,NA,NA,NA,NA
aftertaste,NA,10,0,NA,NA,NA,NA,NA
agencies,7,8,0,1,NA,NA,NA,NA
agency,6,6,0,2,553,NA,366,NA
agendas,7,7,0,2,NA,NA,NA,NA
aggression,6,10,0,1,NA,NA,NA,NA
aggressor,7,9,0,2,589,NA,383,NA
aggressors,7,10,0,2,NA,NA,NA,NA
agitprop,NA,8,0,NA,NA,NA,NA,NA
agonies,6,7,0,1,NA,NA,NA,NA
agonist,NA,7,0,NA,NA,NA,NA,NA
agony,5,5,0,1,461,NA,491,NA
agora,NA,5,0,NA,NA,NA,NA,NA
agreement,8,9,0,1,NA,NA,367,NA
agreements,9,10,0,1,NA,NA,NA,NA
aguacate,NA,8,0,NA,NA,NA,NA,NA
ahs,NA,3,3,NA,NA,NA,NA,NA
aide,2,4,8,26,553,NA,250,NA
aides,3,5,5,10,NA,NA,NA,NA
aileron,NA,7,0,NA,NA,NA,NA,NA
ailerons,NA,8,0,NA,NA,NA,NA,NA
airliner,6,8,1,1,NA,NA,NA,NA
airliners,6,9,0,1,NA,NA,NA,NA
ais,NA,3,9,NA,NA,NA,NA,NA
aisle,2,5,0,20,407,NA,530,NA
aisles,3,6,0,14,NA,NA,NA,NA
akimbo,6,6,0,0,NA,NA,NA,NA
alarmist,7,8,0,0,NA,NA,NA,NA
alaskans,NA,8,0,NA,NA,NA,NA,NA
albumin,NA,7,0,NA,NA,NA,NA,NA
alchemist,8,9,0,1,664,NA,394,NA
alchemy,6,7,0,0,NA,NA,NA,NA
alcohol,7,7,0,1,NA,NA,598,NA
aldermen,7,8,1,0,NA,NA,NA,NA
ale,2,3,9,33,NA,NA,526,NA
alertness,7,9,0,0,NA,NA,NA,NA
ales,3,4,7,23,NA,NA,NA,NA
algonquin,NA,9,0,NA,NA,NA,NA,NA
alibi,5,5,0,1,NA,NA,NA,NA
alibis,6,6,0,1,NA,NA,NA,NA
aliens,6,6,0,1,NA,NA,NA,NA
alignment,8,9,0,2,NA,NA,NA,NA
alignments,9,10,0,1,NA,NA,NA,NA
alkaloid,NA,8,0,NA,NA,NA,NA,NA
alkaloids,NA,9,0,NA,NA,NA,NA,NA
allegiance,7,10,0,0,NA,NA,NA,NA
allele,NA,6,1,NA,NA,NA,NA,NA
alleles,NA,7,1,NA,NA,NA,NA,NA
allergen,NA,8,0,NA,NA,NA,NA,NA
allergens,NA,9,0,NA,NA,NA,NA,NA
allergies,6,9,0,1,NA,NA,NA,NA
allergist,NA,9,0,NA,NA,NA,NA,NA
allergists,NA,10,0,NA,NA,NA,NA,NA
allergy,5,7,0,1,NA,NA,NA,NA
alleyway,5,8,0,1,NA,NA,NA,NA
alleyways,6,9,0,1,NA,NA,NA,NA
alliance,6,8,0,2,NA,NA,NA,NA
allotment,8,9,0,1,486,NA,470,NA
allotments,9,10,0,1,NA,NA,NA,NA
allusion,5,8,1,3,NA,NA,NA,NA
allusions,6,9,1,2,NA,NA,NA,NA
almanac,7,7,0,0,NA,NA,NA,NA
alms,3,4,6,9,NA,NA,NA,NA
alpaca,6,6,0,0,NA,NA,NA,NA
alphabet,7,8,0,0,244,NA,499,NA
altarpiece,NA,10,0,NA,NA,NA,NA,NA
altitudes,9,9,2,3,NA,NA,NA,NA
alumna,NA,6,1,NA,NA,NA,NA,NA
alumnae,NA,7,0,NA,NA,NA,NA,NA
alumnus,NA,7,0,NA,NA,NA,NA,NA
amalgam,7,7,0,0,NA,NA,NA,NA
amaranth,NA,8,0,NA,NA,NA,NA,NA
amateurs,6,8,0,1,NA,NA,NA,NA
amazement,8,9,0,0,NA,414,456,NA
amazons,7,7,0,1,NA,NA,NA,NA
ambergris,NA,9,0,NA,NA,NA,NA,NA
ambiance,NA,8,1,NA,NA,NA,NA,NA
ambience,6,8,0,1,NA,631,NA,254
ambition,6,8,0,1,483,NA,346,NA
ambitions,7,9,1,1,NA,NA,NA,NA
ambulance,9,9,0,0,NA,NA,627,NA
ambushes,7,8,1,1,NA,NA,NA,NA
amendment,9,9,0,1,597,NA,305,NA
amendments,10,10,0,1,NA,NA,NA,NA
amicus,NA,6,0,NA,NA,NA,NA,NA
amino,NA,5,0,NA,NA,NA,NA,NA
ammeter,NA,7,0,NA,NA,NA,NA,NA
ammonia,6,7,0,0,NA,NA,NA,NA
amnesia,7,7,0,0,NA,NA,NA,NA
amnesty,7,7,0,0,NA,NA,NA,NA
amp,3,3,1,6,NA,NA,NA,NA
amperage,NA,8,0,NA,NA,NA,NA,NA
ampersand,NA,9,0,NA,NA,NA,NA,NA
amphora,NA,7,0,NA,NA,NA,NA,NA
amplitude,9,9,0,0,650,NA,389,NA
amputee,NA,7,0,NA,NA,NA,NA,NA
amputees,NA,8,0,NA,NA,NA,NA,NA
amulet,7,6,0,1,NA,NA,NA,NA
amulets,8,7,0,1,NA,NA,NA,NA
amusement,9,9,0,1,NA,357,NA,533
amusements,10,10,0,1,NA,NA,NA,NA
anagram,NA,7,0,NA,NA,NA,NA,NA
analyst,7,7,1,2,NA,NA,NA,NA
analysts,8,8,2,2,NA,NA,NA,NA
anarchist,7,9,1,2,NA,NA,NA,NA
anarchists,8,10,0,2,NA,NA,NA,NA
anarchy,5,7,0,0,NA,596,NA,387
ancestor,8,8,0,1,NA,NA,NA,NA
ancestors,8,9,0,1,NA,NA,NA,NA
ancestry,8,8,0,0,NA,NA,NA,NA
anchorage,7,9,0,2,NA,NA,NA,NA
anchormen,NA,9,0,NA,NA,NA,NA,NA
anchovies,7,9,0,1,NA,NA,NA,NA
anchovy,6,7,0,1,NA,NA,NA,NA
andiron,NA,7,0,NA,NA,NA,NA,NA
anecdote,7,8,0,1,619,NA,357,NA
anecdotes,8,9,0,1,NA,NA,NA,NA
anemone,7,7,0,1,NA,NA,NA,NA
angelfish,NA,9,0,NA,NA,NA,NA,NA
anglophile,NA,10,0,NA,NA,NA,NA,NA
angora,6,6,0,0,NA,NA,NA,NA
angst,4,5,0,0,NA,NA,NA,NA
anhydride,NA,9,0,NA,NA,NA,NA,NA
animists,NA,8,0,NA,NA,NA,NA,NA
animus,NA,6,0,NA,NA,NA,NA,NA
anisette,NA,8,0,NA,NA,NA,NA,NA
ankh,NA,4,0,NA,NA,NA,NA,NA
anklebone,NA,9,0,NA,NA,NA,NA,NA
announcers,NA,10,0,NA,NA,NA,NA,NA
annoyance,6,9,0,0,NA,399,NA,469
annuals,6,7,0,2,NA,NA,NA,NA
annulment,NA,9,0,NA,NA,NA,NA,NA
antacids,NA,8,0,NA,NA,NA,NA,NA
anteater,NA,8,0,NA,NA,NA,NA,NA
antelope,7,8,0,1,NA,446,NA,596
antenna,6,7,0,2,NA,NA,NA,NA
antennae,6,8,1,1,NA,NA,NA,NA
antennas,7,8,1,1,NA,NA,NA,NA
anthracite,NA,10,0,NA,NA,NA,NA,NA
anticline,NA,9,0,NA,NA,NA,NA,NA
antidote,7,8,0,0,NA,NA,NA,NA
antigen,NA,7,0,NA,NA,NA,NA,NA
antigens,NA,8,0,NA,NA,NA,NA,NA
ants,4,4,4,3,NA,NA,NA,NA
anytime,NA,7,0,NA,NA,NA,NA,NA
apaches,6,7,0,0,NA,NA,NA,NA
apartheid,7,9,0,0,NA,NA,NA,NA
apartment,8,9,0,1,522,NA,556,NA
apartments,9,10,0,1,NA,NA,NA,NA
apathy,5,6,0,0,NA,NA,376,NA
apatite,NA,7,0,NA,NA,NA,NA,NA
aperture,7,8,0,1,639,NA,424,NA
aphasia,6,7,0,0,NA,NA,NA,NA
apnea,NA,5,0,NA,NA,NA,NA,NA
apogee,5,6,0,0,NA,NA,NA,NA
apostate,7,8,0,0,NA,NA,NA,NA
apostles,6,8,0,1,NA,NA,NA,NA
apparel,6,7,0,0,NA,NA,NA,NA
appearance,7,10,0,0,NA,397,425,442
appendage,7,9,0,1,NA,NA,NA,NA
appendix,8,8,0,0,NA,NA,NA,NA
appetite,6,8,0,1,NA,NA,NA,NA
appetites,7,9,0,1,NA,NA,NA,NA
appliance,7,9,0,1,NA,509,554,NA
applicant,8,9,0,1,NA,NA,NA,NA
applicants,9,10,0,1,NA,NA,NA,NA
appointee,NA,9,1,NA,NA,NA,NA,NA
appointees,7,10,0,0,NA,NA,NA,NA
appraisal,6,9,0,0,NA,NA,NA,NA
appraisals,NA,10,0,NA,NA,NA,NA,NA
appraiser,NA,9,1,NA,NA,NA,NA,NA
appraisers,NA,10,0,NA,NA,NA,NA,NA
apprentice,8,10,0,0,NA,NA,NA,NA
approval,6,8,0,0,469,NA,375,NA
approvals,NA,9,0,NA,NA,NA,NA,NA
apricots,8,8,0,1,NA,NA,NA,NA
aptitude,8,8,2,3,NA,NA,310,NA
aptitudes,9,9,2,3,NA,NA,NA,NA
aqualung,NA,8,0,NA,NA,NA,NA,NA
aqueducts,NA,9,0,NA,NA,NA,NA,NA
aquifer,NA,7,0,NA,NA,NA,NA,NA
arbiters,6,8,0,1,NA,NA,NA,NA
arbitrage,NA,9,0,NA,NA,NA,NA,NA
arbs,NA,4,4,NA,NA,NA,NA,NA
arcana,NA,6,1,NA,NA,NA,NA,NA
arcanum,NA,7,0,NA,NA,NA,NA,NA
archery,5,7,1,2,433,NA,550,NA
archetypes,7,10,0,1,NA,NA,NA,NA
architects,8,10,0,1,NA,NA,NA,NA
architrave,NA,10,0,NA,NA,NA,NA,NA
archivist,7,9,0,0,NA,NA,NA,NA
archivists,NA,10,0,NA,NA,NA,NA,NA
arcturus,NA,8,0,NA,NA,NA,NA,NA
area,3,4,1,4,392,NA,394,NA
areas,4,5,2,4,NA,NA,NA,NA
argonaut,NA,8,0,NA,NA,NA,NA,NA
argument,8,8,0,1,NA,NA,NA,NA
arguments,9,9,0,1,NA,NA,NA,NA
aria,3,4,2,3,NA,NA,NA,NA
armada,5,6,0,0,NA,NA,NA,NA
armaments,8,9,0,1,NA,NA,NA,NA
aroma,5,5,0,1,NA,NA,NA,NA
aromas,6,6,0,1,NA,NA,NA,NA
arousal,NA,7,0,NA,NA,NA,NA,NA
arrival,5,7,0,1,394,NA,419,NA
arrivals,6,8,0,1,NA,NA,NA,NA
arrogance,7,9,0,1,NA,NA,NA,NA
arrowheads,NA,10,0,NA,NA,NA,NA,NA
arrowroot,NA,9,0,NA,NA,NA,NA,NA
arse,2,4,1,14,NA,NA,NA,NA
arsenals,6,8,0,1,NA,NA,NA,NA
arsenic,6,7,0,0,NA,NA,NA,NA
arsonists,NA,9,0,NA,NA,NA,NA,NA
arteries,6,8,0,1,NA,NA,NA,NA
artery,5,6,0,3,NA,NA,NA,NA
arthritis,7,9,1,0,NA,NA,NA,NA
arthropod,NA,9,0,NA,NA,NA,NA,NA
artichokes,7,10,0,1,NA,NA,NA,NA
article,5,7,0,3,406,404,421,428
articles,6,8,1,3,NA,NA,NA,NA
artifacts,8,9,0,1,NA,NA,NA,NA
artisan,6,7,0,2,NA,NA,NA,NA
artisans,7,8,0,2,NA,NA,NA,NA
artistry,7,8,0,0,NA,NA,NA,NA
arts,3,4,5,15,NA,NA,NA,NA
asbestos,8,8,0,0,578,NA,513,NA
ascendant,8,9,0,1,NA,NA,NA,NA
asp,NA,3,4,NA,NA,NA,NA,NA
aspersion,NA,9,0,NA,NA,NA,NA,NA
aspersions,7,10,0,1,NA,NA,NA,NA
aspirants,10,9,0,0,NA,NA,NA,NA
assailant,7,9,0,1,NA,NA,NA,NA
assailants,8,10,0,1,NA,NA,NA,NA
assassin,6,8,0,1,NA,NA,NA,NA
assassins,7,9,0,1,NA,NA,NA,NA
assemblage,8,10,0,3,NA,NA,NA,NA
assemblers,NA,10,0,NA,NA,NA,NA,NA
assemblies,8,10,0,3,NA,NA,NA,NA
assembly,7,8,1,3,NA,NA,NA,NA
assertion,5,9,0,2,NA,NA,NA,NA
assertions,6,10,0,2,NA,NA,NA,NA
assessment,8,10,0,0,NA,NA,NA,NA
assessor,6,8,0,1,NA,NA,NA,NA
assessors,6,9,0,2,NA,NA,NA,NA
assignment,8,10,0,1,NA,NA,NA,NA
assistance,8,10,0,2,464,NA,348,NA
assistants,9,10,0,2,NA,NA,NA,NA
assortment,8,10,0,0,408,NA,367,NA
assumption,7,10,0,0,NA,NA,257,NA
assurance,7,9,0,0,NA,NA,NA,NA
asterisk,NA,8,0,NA,NA,NA,NA,NA
asteroids,8,9,0,1,NA,NA,NA,NA
asthmatics,NA,10,0,NA,NA,NA,NA,NA
astrodome,NA,9,0,NA,NA,NA,NA,NA
astuteness,NA,10,0,NA,NA,NA,NA,NA
atheism,7,7,1,0,NA,602,NA,253
atheists,7,8,0,1,NA,NA,NA,NA
atheneum,NA,8,0,NA,NA,NA,NA,NA
athletics,8,9,0,1,NA,NA,551,NA
atlases,7,7,0,0,NA,NA,NA,NA
atm,NA,3,3,NA,NA,NA,NA,NA
atmosphere,8,10,0,0,517,NA,444,NA
atonement,8,9,0,1,NA,NA,NA,NA
atria,NA,5,0,NA,NA,NA,NA,NA
atrium,NA,6,0,NA,NA,NA,NA,NA
atrophy,6,7,0,1,NA,NA,NA,NA
attache,5,7,0,1,NA,NA,NA,NA
attachment,8,10,0,0,NA,NA,NA,NA
attackers,6,9,0,1,NA,NA,NA,NA
attainment,8,10,0,1,NA,NA,NA,NA
attendance,8,10,0,2,NA,353,NA,428
attendants,9,10,0,2,NA,NA,NA,NA
attendee,NA,8,1,NA,NA,NA,NA,NA
attendees,NA,9,0,NA,NA,NA,NA,NA
attention,6,9,0,2,NA,NA,NA,NA
attentions,7,10,0,1,NA,NA,NA,NA
attitudes,8,9,2,4,NA,NA,NA,NA
attorneys,6,9,0,1,NA,NA,NA,NA
attraction,7,10,0,0,NA,NA,NA,NA
attrition,6,9,0,1,NA,NA,NA,NA
audibles,NA,8,0,NA,NA,NA,NA,NA
auditor,6,7,0,2,NA,NA,NA,NA
auditors,6,8,1,2,NA,NA,NA,NA
aunt,3,4,4,5,233,NA,567,NA
aunts,4,5,2,4,NA,NA,NA,NA
aureole,5,7,0,0,NA,NA,NA,NA
auspices,7,8,0,0,NA,NA,NA,NA
austrians,NA,9,0,NA,NA,NA,NA,NA
authorship,6,10,0,0,NA,NA,NA,NA
autobahn,6,8,0,0,NA,NA,NA,NA
autoclave,NA,9,0,NA,NA,NA,NA,NA
autocrat,7,8,0,0,NA,NA,NA,NA
autoimmune,NA,10,0,NA,NA,NA,NA,NA
autopsies,NA,9,0,NA,NA,NA,NA,NA
autopsy,6,7,0,0,NA,NA,NA,NA
avalanche,7,9,0,0,NA,NA,596,NA
avatar,6,6,0,0,NA,NA,NA,NA
avatars,NA,7,0,NA,NA,NA,NA,NA
avenue,6,6,1,1,372,NA,564,NA
avenues,7,7,0,1,NA,NA,NA,NA
aversion,5,8,0,2,NA,NA,NA,NA
avoidance,7,9,0,0,NA,NA,NA,NA
awareness,6,9,0,0,NA,448,NA,355
awfulness,7,9,0,0,NA,NA,NA,NA
axiom,5,5,0,1,NA,NA,311,NA
axioms,6,6,0,1,NA,NA,NA,NA
ayes,NA,4,7,NA,NA,NA,NA,NA
azalea,NA,6,0,NA,NA,NA,NA,NA
azaleas,7,7,0,0,NA,NA,NA,NA
babes,4,5,4,6,NA,NA,NA,NA
babushka,NA,8,0,NA,NA,NA,NA,NA
babushkas,NA,9,0,NA,NA,NA,NA,NA
babyhood,7,8,0,0,NA,NA,NA,NA
baccarat,NA,8,0,NA,NA,NA,NA,NA
bacillus,7,8,0,0,NA,NA,NA,NA
backgammon,8,10,0,0,NA,NA,NA,NA
backpacker,NA,10,0,NA,NA,NA,NA,NA
backpedals,NA,10,0,NA,NA,NA,NA,NA
backwater,8,9,0,1,NA,NA,NA,NA
backwaters,8,10,0,1,NA,NA,NA,NA
badminton,9,9,0,0,NA,NA,NA,NA
baedeker,NA,8,0,NA,NA,NA,NA,NA
bagpiper,NA,8,1,NA,NA,NA,NA,NA
baile,NA,5,1,NA,NA,NA,NA,NA
bailiwick,NA,9,0,NA,NA,NA,NA,NA
bakeries,7,8,0,1,NA,NA,NA,NA
balancer,NA,8,2,NA,NA,NA,NA,NA
balconies,8,9,0,1,NA,NA,NA,NA
balcony,7,7,0,1,NA,NA,NA,NA
bales,4,5,12,24,NA,NA,NA,NA
balks,NA,5,7,NA,NA,NA,NA,NA
balloonist,NA,10,0,NA,NA,NA,NA,NA
balloting,7,9,0,0,NA,NA,NA,NA
ballplayer,NA,10,0,NA,NA,NA,NA,NA
ballyhoo,NA,8,0,NA,NA,NA,NA,NA
balms,NA,5,5,NA,NA,NA,NA,NA
bambinos,NA,8,0,NA,NA,NA,NA,NA
bananas,7,7,0,1,NA,NA,NA,NA
bandages,8,8,1,1,NA,NA,NA,NA
bandana,NA,7,0,NA,NA,NA,NA,NA
bandanas,NA,8,0,NA,NA,NA,NA,NA
bandicoot,NA,9,0,NA,NA,NA,NA,NA
banditry,NA,8,0,NA,NA,NA,NA,NA
bandleader,NA,10,0,NA,NA,NA,NA,NA
bandolier,NA,9,0,NA,NA,NA,NA,NA
bandoliers,NA,10,0,NA,NA,NA,NA,NA
bandwagon,9,9,0,0,NA,NA,NA,NA
banishment,9,10,0,0,NA,NA,NA,NA
bankruptcy,10,10,0,0,NA,NA,NA,NA
bans,4,4,18,15,NA,NA,NA,NA
baptism,8,7,0,0,NA,NA,NA,NA
baptisms,NA,8,0,NA,NA,NA,NA,NA
barbeques,NA,9,1,NA,NA,NA,NA,NA
barbs,4,5,2,10,NA,NA,NA,NA
bargainer,NA,9,1,NA,NA,NA,NA,NA
baritone,7,8,0,0,NA,NA,NA,NA
baritones,NA,9,0,NA,NA,NA,NA,NA
barium,NA,6,0,NA,NA,NA,NA,NA
barnacle,NA,8,0,NA,NA,NA,NA,NA
barnacles,7,9,0,0,NA,NA,NA,NA
barns,4,5,7,10,NA,NA,NA,NA
baronet,7,7,1,1,NA,NA,NA,NA
baronets,NA,8,2,NA,NA,NA,NA,NA
barrages,7,8,0,0,NA,NA,NA,NA
barrier,5,7,2,3,NA,NA,NA,NA
barriers,5,8,2,4,NA,NA,NA,NA
barrister,8,9,0,2,NA,597,NA,587
barristers,8,10,0,2,NA,NA,NA,NA
basques,NA,7,1,NA,NA,NA,NA,NA
baths,4,5,5,5,NA,NA,NA,NA
batt,NA,4,5,NA,NA,NA,NA,NA
battalion,8,9,0,1,NA,NA,NA,NA
battalions,9,10,0,1,NA,NA,NA,NA
batteries,7,9,0,2,NA,NA,NA,NA
battlement,NA,10,0,NA,NA,NA,NA,NA
battleship,7,10,0,0,NA,NA,NA,NA
baud,NA,4,4,NA,NA,NA,NA,NA
bawd,NA,4,4,NA,NA,NA,NA,NA
bayonets,7,8,0,1,NA,NA,NA,NA
bazookas,7,8,0,1,NA,NA,NA,NA
beads,4,5,11,17,NA,NA,NA,NA
beak,3,4,11,24,263,NA,579,NA
beards,4,6,1,7,NA,NA,NA,NA
beast,4,5,5,16,319,NA,558,NA
beasts,5,6,4,5,NA,NA,NA,NA
beautician,NA,10,0,NA,NA,NA,NA,NA
bedchamber,NA,10,0,NA,NA,NA,NA,NA
bedfellow,NA,9,0,NA,NA,NA,NA,NA
bedouins,7,8,0,1,NA,NA,NA,NA
bedridden,7,9,0,0,NA,NA,NA,NA
beekeeper,NA,9,0,NA,NA,NA,NA,NA
beekeeping,NA,10,0,NA,NA,NA,NA,NA
beers,3,5,6,28,NA,NA,NA,NA
beet,3,4,11,24,NA,NA,NA,NA
beets,4,5,4,16,NA,NA,NA,NA
beginner,7,8,0,1,NA,NA,NA,NA
beginners,7,9,0,1,NA,NA,NA,NA
beginnings,8,10,0,1,NA,NA,NA,NA
begonia,NA,7,0,NA,NA,NA,NA,NA
begonias,NA,8,0,NA,NA,NA,NA,NA
behaviors,NA,9,0,NA,NA,NA,NA,NA
behaviour,8,9,0,0,400,NA,351,NA
behaviours,NA,10,0,NA,NA,NA,NA,NA
behemoth,7,8,0,0,NA,NA,NA,NA
behemoths,NA,9,0,NA,NA,NA,NA,NA
beholder,8,8,1,1,NA,NA,NA,NA
belabor,NA,7,0,NA,NA,NA,NA,NA
believer,7,8,2,1,NA,NA,NA,NA
believers,7,9,0,1,NA,NA,NA,NA
bellyache,NA,9,0,NA,NA,NA,NA,NA
belongings,8,10,0,1,NA,NA,NA,NA
bemusement,NA,10,0,NA,NA,NA,NA,NA
bench,4,5,5,6,311,NA,555,NA
benefits,8,8,0,1,NA,NA,NA,NA
bere,NA,4,7,NA,NA,NA,NA,NA
bergs,NA,5,0,NA,NA,NA,NA,NA
berliner,NA,8,0,NA,NA,NA,NA,NA
berliners,NA,9,0,NA,NA,NA,NA,NA
berms,NA,5,3,NA,NA,NA,NA,NA
berths,4,6,1,3,NA,NA,NA,NA
bestseller,NA,10,0,NA,NA,NA,NA,NA
betrayal,7,8,0,1,492,NA,358,NA
betrayals,8,9,0,1,NA,NA,NA,NA
betterment,8,10,0,0,569,NA,310,NA
beverage,7,8,1,0,NA,NA,565,NA
beverages,9,9,0,0,NA,NA,NA,NA
biases,6,6,1,0,NA,NA,NA,NA
bicuspids,NA,9,0,NA,NA,NA,NA,NA
bicycles,7,8,1,3,NA,NA,NA,NA
bier,3,4,3,23,NA,NA,NA,NA
bikes,4,5,4,11,NA,NA,NA,NA
bikini,6,6,0,0,NA,NA,NA,NA
bikinis,NA,7,0,NA,NA,NA,NA,NA
binaries,NA,8,0,NA,NA,NA,NA,NA
bins,4,4,13,20,NA,NA,NA,NA
biomass,NA,7,0,NA,NA,NA,NA,NA
biopsy,NA,6,0,NA,NA,NA,NA,NA
biosphere,7,9,0,0,NA,NA,NA,NA
birth,3,5,5,18,328,317,532,NA
births,4,6,1,3,NA,NA,NA,NA
bisque,NA,6,0,NA,NA,NA,NA,NA
bitchiness,7,10,0,1,NA,NA,NA,NA
bitterness,7,10,0,0,497,NA,378,NA
