Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f
lad	736	339	675	316	14.43	2.8675	4.04	2.5315	Noun	726.0	1.0	Noun	726	4.15930163	1
lake	1836	802	1074	497	36.0	3.2641	9.56	2.9047	Noun	1753.0	0.96	Noun.Name	1753.81	4.555943298	1
lamb	542	322	426	280	10.63	2.7348	3.84	2.5092	Noun	431.0	0.8	Noun.Name.Verb	431.108.2	4.026633972	1
lame	557	439	525	424	10.92	2.7466	5.23	2.6435	Adjective	542.0	0.97	Adjective.Verb	542.16	4.038468341	1
lamp	657	384	640	375	12.88	2.8182	4.58	2.5855	Noun	654.0	1.0	Noun	654	4.110060036	1
lance	554	130	100	37	10.86	2.7443	1.55	2.1173	Noun	472.0	0.85	Noun.Verb.Name	472.73.8	4.036127125	1
land	4494	2074	3993	1923	88.12	3.6527	24.73	3.317	Noun	3345.0	0.75	Noun.Verb.Name	3345.1025.112	4.944563838	1
landed	653	520	639	512	12.8	2.8156	6.2	2.7168	Verb	625.0	0.96	Verb.Adjective	625.26	4.10741189	2
landing	818	497	741	467	16.04	2.9133	5.93	2.6972	Noun	526.0	0.64	Noun.Verb.Name	526.291.2	4.205118044	2
lane	1704	513	319	235	33.41	3.2317	6.12	2.711	Noun	1593.0	0.94	Noun.Name	1593.96	4.523558525	1
language	1790	1178	1593	1124	35.1	3.2531	14.04	3.0715	Noun	1789.0	1.0	Noun	1789	4.544929728	2
lap	687	519	647	496	13.47	2.8376	6.19	2.716	Noun	666.0	0.97	Noun.Verb	666.20	4.12942258	1
large	2114	1480	1979	1429	41.45	3.3253	17.64	3.1706	Adjective	1963.0	0.93	Adjective.Adverb	1963.151	4.617144514	1
lately	2459	1795	2291	1698	48.22	3.3909	21.4	3.2543	Adverb	2458.0	1.0	Adverb	2458	4.682769249	2
latest	955	819	925	794	18.73	2.9805	9.76	2.9138	Adjective	954.0	1.0	Adjective	954	4.272292034	2
laugh	3206	1932	3023	1846	62.86	3.5061	23.03	3.2862	Verb	2281.0	0.71	Verb.Noun	2281.923	4.797933102	1
laughed	545	447	537	442	10.69	2.7372	5.33	2.6513	Verb	544.0	1.0	Verb	544	4.029026785	1
laughing	2667	1515	2396	1425	52.29	3.4262	18.06	3.1807	Verb	2508.0	0.94	Verb.Adjective.Noun	2508.155.1	4.718019967	2
laugh	1238	607	1023	540	24.27	3.0931	7.24	2.7839	Verb	962.0	0.78	Verb.Noun.Name	962.272.1	4.384905449	1
laughter	704	396	559	339	13.8	2.8482	4.72	2.5988	Noun	703.0	1.0	Noun	703	4.140023259	2
launch	1018	395	885	364	19.96	3.0082	4.71	2.5977	Verb	538.0	0.53	Verb.Noun	538.480	4.300008326	1
laundry	972	642	913	620	19.06	2.9881	7.65	2.8082	Noun	972.0	1.0	Noun	972	4.279946982	2
lawn	630	424	604	411	12.35	2.8	5.05	2.6284	Noun	629.0	1.0	Noun	629	4.091863501	1
law	868	592	811	574	17.02	2.939	7.06	2.7731	Noun	864.0	1.0	Noun	864	4.230853919	1
lawyer	4055	1686	3959	1669	79.51	3.6081	20.1	3.2271	Noun	4041.0	1.0	Noun.Name	4041.6	4.899932088	2
lawyer	975	646	900	611	19.12	2.9894	7.7	2.8109	Noun	975.0	1.0	Noun.Verb	975.1	4.28128396	2
lay	2970	1951	2334	1710	58.24	3.4729	23.26	3.2905	Verb	2862.0	0.96	Verb.Adjective	2862.104	4.764736794	1
laying	568	492	541	474	11.14	2.7551	5.87	2.6928	Verb	555.0	0.98	Verb.Noun	555.12	4.046946409	2
lazy	591	445	530	411	11.59	2.7723	5.31	2.6493	Adjective	590.0	1.0	Adjective	590	4.064155849	2
lead	4246	2517	4021	2426	83.25	3.6281	30.01	3.4011	Verb	2460.0	0.58	Verb.Noun.Name	2460.1783.2	4.919916403	1
leader	1589	894	1346	846	31.16	3.2014	10.66	2.9518	Noun	1579.0	0.99	Noun.Name	1579.10	4.493231266	2
leading	1064	823	992	780	20.86	3.0273	9.81	2.9159	Verb	693.0	0.65	Verb.Adjective	693.371	4.31918375	2
lead	1009	817	988	804	19.78	3.0043	9.74	2.9128	Verb	698.0	0.69	Verb.Noun	698.311	4.296155516	1
league	950	607	576	391	18.63	2.9782	7.24	2.7839	Noun	936.0	0.99	Noun.Name	936.13	4.270014659	1
leak	517	382	504	379	10.14	2.7143	4.55	2.5832	Noun	418.0	0.81	Noun.Verb	418.99	4.006163902	1
lean	529	427	385	336	10.37	2.7243	5.09	2.6314	Verb	428.0	0.81	Verb.Adjective.Name	428.97.4	4.016110012	1
learned	2964	2061	2915	2038	58.12	3.472	24.57	3.3143	Verb	2891.0	0.98	Verb.Adjective	2891.69	4.76385884	1
learning	1036	815	966	764	20.31	3.0158	9.72	2.9117	Verb	801.0	0.77	Verb.Noun	801.235	4.307612899	2
leather	693	489	629	458	13.59	2.8414	5.83	2.6902	Noun	692.0	1.0	Noun.Name	692.1	4.133193613	2
leaf	2316	1719	2236	1679	45.41	3.3649	20.49	3.2355	Verb	1782.0	0.77	Verb.Noun	1782.530	4.656760176	1
lecture	534	408	522	405	10.47	2.7284	4.86	2.6117	Noun	411.0	0.77	Noun.Verb	411.123	4.020187924	2
led	1225	953	1150	911	24.02	3.0885	11.36	2.9795	Verb	1206.0	0.99	Verb.Noun	1206.17	4.380324612	1
leg	2882	1588	2832	1566	56.51	3.4598	18.93	3.2011	Noun	2871.0	1.0	Noun.Verb	2871.8	4.751678785	1
legal	1821	1200	1662	1136	35.71	3.2605	14.31	3.0795	Adjective	1827.0	1.0	Adjective.Noun	1827.2	4.552382515	2
legend	875	565	812	530	17.16	2.9425	6.74	2.7528	Noun	874.0	1.0	Noun	874	4.234338248	2
leg	2835	1843	2722	1803	55.59	3.4527	21.97	3.2658	Noun	2827.0	1.0	Noun.Verb.Name	2827.3.1	4.744540369	1
lemon	613	344	376	277	12.02	2.7882	4.1	2.5378	Noun	595.0	0.97	Noun.Name	595.18	4.080002513	2
lend	595	484	483	411	11.67	2.7752	5.77	2.6857	Verb	592.0	1.0	Verb	592	4.067080402	1
lesson	1644	1120	1583	1099	32.24	3.2162	13.35	3.0496	Noun	1639.0	1.0	Noun	1639	4.508000044	2
lesson	772	551	756	546	15.14	2.8882	6.57	2.7419	Noun	769.0	1.0	Noun	769	4.180013636	2
let	918	610	691	540	18.0	2.9633	7.27	2.786	Verb	1841.0	1.0	Verb.Noun	1841.1	4.255149654	1
letter	4213	1758	4140	1738	82.61	3.6247	20.96	3.2453	Noun	4209.0	1.0	Noun	4209	4.916528673	2
letter	1910	1033	1841	1011	37.45	3.2813	12.32	3.0145	Noun	1906.0	1.0	Noun	1906	4.573094829	2
letting	1995	1628	1892	1565	39.12	3.3002	19.41	3.2119	Verb	1975.0	0.99	Verb.Noun	1975.15	4.591994679	2
level	2633	1590	2442	1542	51.63	3.4206	18.96	3.2017	Noun	2233.0	0.85	Noun.Verb.Adjective.Adverb	2233.226.171.1	4.712449913	2
level	527	389	507	383	10.33	2.7226	4.64	2.5911	Noun	525.0	0.99	Noun.Verb	525.4	4.014468065	2
liar	1792	1181	1448	1028	35.14	3.2536	14.08	3.0726	Noun	1783.0	1.0	Noun.Name	1783.3	4.545414432	2
license	1635	992	1530	949	32.06	3.2138	11.83	2.9969	Noun	1456.0	0.89	Noun.Verb	1456.174	4.505617441	2
lick	559	394	467	354	10.96	2.7482	4.7	2.5966	Verb	479.0	0.86	Verb.Noun	479.78	4.040022169	1
lied	2234	1470	2213	1461	43.8	3.3493	17.53	3.1676	Verb	2214.0	0.99	Verb.Unclassified	2214.18	4.64111167	1
lie	1883	1279	1778	1230	36.92	3.2751	15.25	3.1072	Noun	1148.0	0.61	Noun.Verb	1148.734	4.566915041	1
lifetime	929	775	902	756	18.22	2.9685	9.24	2.8899	Noun	929.0	1.0	Noun	929	4.260317091	2
lift	1741	1264	1447	1115	34.14	3.241	15.07	3.1021	Verb	1062.0	0.61	Verb.Noun	1062.678	4.532882293	1
lightning	721	360	499	311	14.14	2.8585	4.29	2.5575	Noun	681.0	0.95	Noun.Verb.Name	681.35.4	4.15037134	2
light	2877	1710	2614	1600	56.41	3.4591	20.39	3.2333	Noun	2823.0	0.98	Noun.Verb	2823.54	4.750924932	1
liked	4017	2522	3997	2519	78.76	3.604	30.07	3.4019	Verb	4014.0	1.0	Verb.Adjective	4014.1	4.895844075	1
likely	1314	1041	1266	1014	25.76	3.1189	12.41	3.0179	Adjective	1094.0	0.83	Adjective.Adverb	1094.218	4.410759895	2
like	3889	2561	3844	2545	76.25	3.5899	30.53	3.4086	Verb	3645.0	0.94	Verb.Noun	3645.241	4.881783743	1
limit	664	561	655	558	13.02	2.8228	6.69	2.7497	Noun	560.0	0.84	Noun.Verb	560.104	4.114655787	2
line	1960	1348	1897	1322	38.43	3.2925	16.07	3.13	Noun	1950.0	0.99	Noun.Verb	1950.12	4.584311736	1
ling	785	125	7	7	15.39	2.8954	1.49	2.1004	Noun	757.0	0.97	Noun.Name	757.21	4.187256688	1
link	609	399	479	379	11.94	2.7853	4.76	2.6021	Noun	373.0	0.62	Noun.Verb.Name	373.231.2	4.077163977	1
lion	783	328	633	281	15.35	2.8943	3.91	2.5172	Noun	779.0	1.0	Noun.Name	779.3	4.186150205	2
lip	548	434	517	418	10.75	2.7396	5.17	2.6385	Noun	538.0	0.99	Noun.Name	538.7	4.031406487	1
lip	1590	1058	1466	1014	31.18	3.2017	12.61	3.0249	Noun	1589.0	1.0	Noun	1589	4.493504322	1
list	4110	2176	4045	2151	80.59	3.6139	25.94	3.3379	Noun	3958.0	0.97	Noun.Verb	3958.142	4.905781619	1
listened	747	642	736	634	14.65	2.8739	7.65	2.8082	Verb	746.0	1.0	Verb	746	4.16573574	2
lived	3368	2229	3291	2197	66.04	3.5275	26.57	3.3483	Verb	3366.0	1.0	Verb.Noun	3366.1	4.819335153	1
liver	729	428	676	402	14.29	2.8633	5.1	2.6325	Noun	726.0	1.0	Noun	726	4.155157002	2
ln	3753	1032	3356	948	73.59	3.5745	12.3	3.0141	Noun	3738.0	1.0	Noun.Name	3738.11	4.86632841	1
load	1490	1096	1336	1005	29.22	3.1735	13.07	3.0402	Noun	1005.0	0.67	Noun.Verb	1005.484	4.465311786	1
loaded	948	760	916	741	18.59	2.9773	9.06	2.8814	Verb	685.0	0.72	Verb.Adjective	685.262	4.269100355	2
loan	1013	580	937	555	19.86	3.006	6.91	2.7642	Noun	868.0	0.86	Noun.Verb.Name	868.142.1	4.297872097	1
lobby	647	453	625	449	12.69	2.8116	5.4	2.6571	Noun	627.0	0.97	Noun.Verb	627.18	4.103409148	2
local	2128	1498	1958	1418	41.73	3.3282	17.86	3.1758	Adjective	2079.0	0.98	Adjective.Noun	2079.47	4.620009804	2
locate	524	443	489	422	10.27	2.7202	5.28	2.6474	Verb	521.0	1.0	Verb	521	4.011993446	2
lock	2885	1866	2267	1548	56.57	3.4603	22.25	3.2711	Verb	1737.0	0.6	Verb.Noun.Name	1737.971.174	4.752130469	1
locked	2670	1735	2550	1673	52.35	3.4267	20.68	3.2395	Verb	2467.0	0.92	Verb.Adjective.Noun	2467.203.1	4.71850803	1
locker	815	491	796	481	15.98	2.9117	5.85	2.692	Noun	797.0	0.98	Noun.Name	797.16	4.203524301	2
log	610	397	555	370	11.96	2.786	4.73	2.5999	Noun	534.0	0.88	Noun.Verb	534.75	4.077875352	1
lonely	2125	1364	1978	1313	41.67	3.3276	16.26	3.1351	Adjective	2119.0	1.0	Adjective	2119	4.619397402	2
longer	5046	3279	4992	3260	98.94	3.703	39.09	3.5159	Adverb	4096.0	0.81	Adverb.Adjective	4096.948	4.994867447	2
loose	2131	1508	2060	1474	41.78	3.3288	17.98	3.1787	Adjective	1466.0	0.69	Adjective.Adverb.Verb.Noun	1466.300.212.150	4.620621342	1
losing	2722	2016	2549	1935	53.37	3.435	24.03	3.3047	Verb	2598.0	0.95	Verb.Adjective.Noun	2598.102.22	4.726881783	2
loss	1485	1144	1445	1126	29.12	3.172	13.64	3.0588	Noun	1484.0	1.0	Noun	1484	4.463852952	1
lot	3068	2057	2205	1616	60.16	3.487	24.52	3.3134	Pronoun	3038.0	0.99	Pronoun.Noun.Name	3038.31.1	4.778831031	1
loud	2031	1506	1850	1409	39.82	3.3079	17.95	3.1781	Adverb	1586.0	0.78	Adverb.Adjective	1586.445	4.599757846	1
louder	515	377	361	287	10.1	2.7126	4.49	2.5775	Adjective	421.0	0.82	Adjective.Adverb	421.92	4.004483844	2
lousy	1210	884	1107	822	23.73	3.0831	10.54	2.9469	Adjective	1207.0	1.0	Adjective.Adverb	1207.5	4.374978285	2
lovely	4853	2473	4163	2247	95.16	3.6861	29.48	3.3934	Adjective	4842.0	1.0	Adjective.Noun	4842.3	4.977933914	2
lover	1358	886	1240	829	26.63	3.1332	10.56	2.9479	Noun	1349.0	1.0	Noun.Name	1349.2	4.425053599	2
lover	572	434	509	400	11.22	2.7582	5.17	2.6385	Noun	567.0	0.99	Noun.Name.Verb	567.6.1	4.049988764	2
love	3695	2298	3586	2256	72.45	3.5677	27.4	3.3615	Verb	3563.0	0.96	Verb.Noun	3563.136	4.859566105	1
loving	1275	946	1134	875	25.0	3.1059	11.28	2.9763	Verb	701.0	0.55	Verb.Adjective	701.575	4.397684817	2
low	3016	2041	2789	1931	59.14	3.4796	24.33	3.3101	Adjective	2700.0	0.9	Adjective.Adverb.Noun.Name.Verb	2700.201.51.49.5	4.771409452	1
lower	1417	1055	1102	891	27.78	3.1517	12.58	3.0237	Adjective	836.0	0.59	Adjective.Verb.Adverb	836.522.56	4.443510373	2
loyal	612	467	592	456	12.0	2.7875	5.57	2.6702	Adjective	615.0	1.0	Adjective	615	4.079294617	2
l	4967	1122	4801	1052	97.39	3.6962	13.38	3.0504	Number	4369.0	0.77	Number.Noun.Name	4369.1245.51	4.988015729	2
luggage	567	374	548	366	11.12	2.7543	4.46	2.574	Noun	567.0	1.0	Noun	567	4.046182478	2
lung	540	375	513	358	10.59	2.7332	4.47	2.5752	Noun	540.0	1.0	Noun	540	4.025031407	1
lying	4472	2733	4319	2687	87.69	3.6506	32.58	3.4368	Verb	4212.0	0.94	Verb.Noun	4212.259	4.94243304	2
machine	3583	1880	3319	1822	70.25	3.5544	22.41	3.2744	Noun	3318.0	0.93	Noun.Verb.Name	3318.254.3	4.846202143	2
machine	707	457	679	443	13.86	2.85	5.45	2.6609	Noun	707.0	1.0	Noun	707	4.1418674	2
madam	2244	674	1314	439	44.0	3.3512	8.04	2.8293	Noun	2219.0	0.99	Noun.Name	2219.12	4.643050487	2
madame	1591	394	470	153	31.2	3.2019	4.7	2.5966	Noun	1566.0	1.0	Noun.Name	1566.5	4.493777206	2
magic	2687	1223	2341	1117	52.69	3.4294	14.58	3.0878	Noun	1411.0	0.53	Noun.Adjective.Name	1411.1264.10	4.721263407	2
maid	1164	614	1082	580	22.82	3.0663	7.32	2.7889	Noun	1160.0	1.0	Noun	1160	4.358160068	1
mail	1879	1110	1718	1061	36.84	3.2742	13.23	3.0457	Noun	1630.0	0.87	Noun.Verb	1630.244	4.565991991	1
main	2179	1400	1823	1256	42.73	3.3385	16.69	3.1464	Adjective	2009.0	0.92	Adjective.Name.Noun.Adverb	2009.113.51.3	4.630290636	1
maintain	661	529	556	469	12.96	2.8209	6.31	2.7243	Verb	662.0	1.0	Verb	662	4.112692132	2
makeup	790	519	756	502	15.49	2.8982	6.19	2.716	Noun	788.0	1.0	Noun	788	4.190010626	2
male	1731	1106	1556	1012	33.94	3.2385	13.19	3.0441	Adjective	1033.0	0.6	Adjective.Noun	1033.694	4.53038203	1
mall	964	426	855	398	18.9	2.9845	5.08	2.6304	Noun	965.0	1.0	Noun	965	4.276361455	1
manage	1095	889	1083	885	21.47	3.0398	10.6	2.9494	Verb	1097.0	1.0	Verb	1097	4.331644696	2
managed	846	706	834	699	16.59	2.9279	8.42	2.8494	Verb	834.0	0.99	Verb.Adjective.Noun	834.6.2	4.219717552	2
manner	588	501	585	501	11.53	2.7701	5.97	2.7007	Noun	587.0	1.0	Noun	587	4.061949437	2
manner	651	512	599	482	12.76	2.8142	6.1	2.7101	Noun	620.0	0.95	Noun.Name	620.31	4.106081738	2
map	1623	805	1587	792	31.82	3.2106	9.6	2.9063	Noun	1561.0	0.96	Noun.Verb	1561.61	4.502420167	1
marine	718	284	240	145	14.08	2.8567	3.39	2.4548	Adjective	659.0	0.92	Adjective.Noun	659.59	4.148563033	2
marked	547	449	530	438	10.73	2.7388	5.35	2.6532	Verb	377.0	0.69	Verb.Adjective	377.170	4.030614701	1
market	1848	1189	1728	1137	36.24	3.2669	14.18	3.0755	Noun	1641.0	0.89	Noun.Verb.Name	1641.194.13	4.558771053	2
mark	1117	651	1006	622	21.9	3.0484	7.76	2.8142	Noun	927.0	0.83	Noun.Name.Verb	927.102.91	4.340275946	1
marriage	3930	1747	3686	1694	77.06	3.5945	20.83	3.2425	Noun	3925.0	1.0	Noun	3925	4.886337186	2
marshal	900	215	336	127	17.65	2.9547	2.56	2.3345	Noun	613.0	0.68	Noun.Verb.Name	613.264.21	4.246558933	2
mask	1010	480	912	463	19.8	3.0048	5.72	2.6821	Noun	957.0	0.95	Noun.Verb	957.49	4.296585298	1
mass	880	620	712	521	17.25	2.945	7.39	2.7931	Adjective	407.0	0.47	Adjective.Noun.Name.Verb	407.402.59.2	4.236810051	1
massage	565	356	542	344	11.08	2.7528	4.24	2.5527	Noun	458.0	0.81	Noun.Verb	458.107	4.044650573	2
master	4450	1322	2327	1116	87.25	3.6485	15.76	3.1216	Noun	4145.0	0.93	Noun.Verb.Name	4145.278.13	4.940291736	2
match	2521	1557	2416	1521	49.43	3.4017	18.56	3.1926	Noun	1609.0	0.64	Noun.Verb	1609.908	4.693579224	1
match	659	518	616	492	12.92	2.8195	6.18	2.7152	Noun	351.0	0.53	Noun.Verb.Name	351.307.1	4.111378078	2
mate	1491	650	1386	628	29.24	3.1738	7.75	2.8136	Noun	1355.0	0.91	Noun.Verb.Name	1355.125.9	4.465602965	1
math	836	508	709	473	16.39	2.9227	6.06	2.7067	Noun	835.0	1.0	Noun	835	4.2145596	1
matter	1710	1324	1696	1313	33.53	3.2333	15.78	3.1222	Noun	1054.0	0.62	Noun.Verb	1054.654	4.525084152	2
mayor	1595	508	866	370	31.27	3.203	6.06	2.7067	Noun	1464.0	0.92	Noun.Name	1464.126	4.494867029	2
meal	1472	1048	1441	1030	28.86	3.1682	12.49	3.0208	Noun	1471.0	1.0	Noun	1471	4.460036889	1
meaning	1904	1383	1427	1077	37.33	3.2799	16.49	3.1411	Noun	1308.0	0.69	Noun.Verb	1308.593	4.571729122	2
meantime	769	684	692	622	15.08	2.8865	8.15	2.8357	Noun	767.0	1.0	Noun.Adverb	767.2	4.178324867	2
meanwhile	812	612	142	117	15.92	2.9101	7.3	2.7875	Adverb	811.0	1.0	Adverb	811	4.201924688	2
measure	537	445	498	425	10.53	2.7308	5.31	2.6493	Verb	274.0	0.51	Verb.Noun	274.262	4.022616418	2
meat	2226	1286	2083	1247	43.65	3.3477	15.33	3.1096	Noun	2227.0	1.0	Noun	2227	4.639554359	1
medal	590	296	470	252	11.57	2.7716	3.53	2.4728	Noun	589.0	1.0	Noun	589	4.063421623	2
meeting	530	419	522	415	10.39	2.7251	5.0	2.6232	Noun	528.0	1.0	Noun	528	4.016928663	2
member	1468	1109	1414	1087	28.78	3.167	13.22	3.0453	Noun	1465.0	1.0	Noun	1465	4.458855938	2
member	1224	891	1120	826	24.0	3.0881	10.62	2.9504	Noun	1222.0	1.0	Noun	1222	4.379970231	2
mental	1002	707	926	671	19.65	3.0013	8.43	2.85	Adjective	1003.0	1.0	Adjective	1003	4.293135075	2
mention	3033	2211	2985	2184	59.47	3.482	26.36	3.3448	Verb	2857.0	0.94	Verb.Noun	2857.170	4.773849719	2
mentioned	1556	1254	1550	1250	30.51	3.1923	14.95	3.0986	Verb	1555.0	1.0	Verb	1555	4.484122755	2
mercy	1291	785	1030	685	25.31	3.1113	9.36	2.8954	Noun	1284.0	1.0	Noun.Name	1284.4	4.403096656	2
merely	795	603	729	563	15.59	2.9009	7.19	2.781	Adverb	798.0	1.0	Adverb	798	4.19274721	2
merry	1994	467	448	222	39.1	3.2999	5.57	2.6702	Adjective	1989.0	1.0	Adjective	1989	4.591777042	2
mess	3985	2614	3856	2560	78.14	3.6005	31.16	3.4175	Noun	2822.0	0.71	Noun.Verb	2822.1162	4.892371437	1
message	4667	2424	4509	2392	91.51	3.6691	28.9	3.3847	Noun	4667.0	1.0	Noun	4667	4.96096499	2
messed	853	669	838	658	16.73	2.9315	7.98	2.8261	Verb	820.0	0.96	Verb.Adjective	820.33	4.223292013	1
messing	665	562	642	546	13.04	2.8235	6.7	2.7505	Verb	664.0	1.0	Verb.Name	664.1	4.115308371	2
metal	992	663	919	626	19.45	2.9969	7.9	2.8222	Noun	985.0	1.0	Noun.Verb	985.2	4.288783391	2
middle	4549	2957	4154	2785	89.2	3.658	35.25	3.471	Noun	3631.0	0.8	Noun.Adjective.Verb	3631.915.1	4.949845539	2
midnight	1447	995	1275	912	28.37	3.1608	11.86	2.9983	Noun	1443.0	1.0	Noun	1443	4.452602704	2
mighty	1355	785	1126	708	26.57	3.1323	9.36	2.8954	Adjective	979.0	0.72	Adjective.Adverb	979.376	4.424093832	2
mile	1071	779	950	746	21.0	3.0302	9.29	2.8921	Noun	1095.0	1.0	Noun	1095	4.322028928	1
mile	4500	2064	3629	1966	88.24	3.6533	24.61	3.3149	Noun	3634.0	0.81	Noun.Name	3634.852	4.945143155	1
milk	2169	1262	1935	1175	42.53	3.3365	15.05	3.1014	Noun	2121.0	0.98	Noun.Verb	2121.52	4.628293876	1
million	1147	818	993	742	22.49	3.0599	9.75	2.9133	Noun	1147.0	1.0	Noun	1147	4.35177603	2
mind	1072	861	1047	846	21.02	3.0306	10.26	2.9355	Noun	1025.0	0.96	Noun.Verb	1025.43	4.322433864	1
minor	654	531	582	491	12.82	2.8162	6.33	2.7259	Adjective	622.0	0.95	Adjective.Noun.Name	622.24.7	4.108075442	2
mirror	1233	871	1175	851	24.18	3.0913	10.38	2.9405	Noun	1208.0	0.98	Noun.Verb.Name	1208.25.1	4.383149302	2
missed	4568	2924	4413	2862	89.57	3.6598	34.86	3.4661	Verb	4516.0	0.99	Verb.Adjective.Noun	4516.50.1	4.9516553	1
missile	670	207	579	192	13.14	2.8267	2.47	2.3181	Noun	669.0	1.0	Noun	669	4.118556662	2
missing	4484	2626	4301	2575	87.92	3.6518	31.31	3.4195	Verb	3174.0	0.71	Verb.Adjective	3174.1306	4.94359659	2
mission	2400	1135	2178	1036	47.06	3.3804	13.53	3.0554	Noun	2391.0	1.0	Noun.Name	2391.5	4.672226302	2
mistake	1116	894	1085	876	21.88	3.0481	10.66	2.9518	Noun	1106.0	0.99	Noun.Verb	1106.7	4.339887315	2
mister	2326	1228	1496	906	45.61	3.3668	14.64	3.0896	Noun	2322.0	1.0	Noun	2322	4.658630525	2
mistress	606	297	416	252	11.88	2.7832	3.54	2.4742	Noun	603.0	1.0	Noun	603	4.075022833	2
mix	834	677	745	616	16.35	2.9217	8.07	2.8312	Verb	518.0	0.62	Verb.Noun	518.317	4.213520618	1
mixed	1090	828	1053	812	21.37	3.0378	9.87	2.9186	Verb	940.0	0.86	Verb.Adjective	940.151	4.329658893	1
mob	660	384	579	346	12.94	2.8202	4.58	2.5855	Noun	634.0	0.96	Noun.Adjective.Verb.Name	634.13.10.1	4.112035602	1
model	1635	982	1534	942	32.06	3.2138	11.71	2.9926	Noun	1529.0	0.94	Noun.Verb.Name.Adjective	1529.91.5.5	4.505617441	2
modern	930	676	800	608	18.24	2.9689	8.06	2.8306	Adjective	928.0	1.0	Adjective	928	4.260783823	2
moment	1101	885	1052	855	21.59	3.0422	10.55	2.9474	Noun	1103.0	1.0	Noun	1103	4.334015737	2
mommy	3617	1329	700	444	70.92	3.5585	15.84	3.1239	Noun	3584.0	1.0	Noun.Name	3584.2	4.850302705	2
monkey	1709	782	1403	716	33.51	3.233	9.32	2.8938	Noun	1690.0	0.99	Noun.Name.Verb	1690.7.6	4.524830253	2
monsieur	1585	254	540	147	31.08	3.2003	3.03	2.4065	Noun	1576.0	1.0	Noun	1576	4.492137325	2
monster	1982	945	1799	880	38.86	3.2973	11.27	2.9759	Noun	1950.0	0.99	Noun.Adjective.Name	1950.24.1	4.589156856	2
monster	550	326	483	311	10.78	2.7412	3.89	2.5145	Noun	546.0	1.0	Noun.Verb.Name	546.1.1	4.032985741	2
month	4854	2895	4782	2866	95.18	3.6862	34.51	3.4618	Noun	4848.0	1.0	Noun	4848	4.978023376	1
mood	1736	1288	1718	1281	34.04	3.2398	15.36	3.1103	Noun	1734.0	1.0	Noun.Name	1734.1	4.531633961	1
moon	2548	1167	2123	1028	49.96	3.4064	13.91	3.0674	Noun	2487.0	0.98	Noun.Name.Verb	2487.35.27	4.698203978	1
moral	689	526	636	501	13.51	2.8388	6.27	2.7218	Adjective	654.0	0.95	Adjective.Noun.Name	654.32.3	4.130683233	2
mostly	1330	1099	974	836	26.08	3.1242	13.1	3.0414	Adverb	1328.0	1.0	Adverb	1328	4.416012198	2
motel	927	469	762	401	18.18	2.9675	5.59	2.6721	Noun	924.0	1.0	Noun.Name	924.1	4.259382118	2
mother	622	465	560	431	12.2	2.7945	5.54	2.6684	Noun	668.0	0.99	Noun.Verb	668.4	4.086322189	2
motion	967	630	851	579	18.96	2.9859	7.51	2.8	Noun	960.0	0.99	Noun.Verb	960.7	4.277709499	2
motive	675	387	649	377	13.24	2.8299	4.61	2.5888	Noun	675.0	1.0	Noun	675	4.121780838	2
motor	671	470	557	400	13.16	2.8274	5.6	2.673	Noun	648.0	0.96	Noun.Verb.Name.Adjective	648.21.3.2	4.119203415	2
mount	597	400	198	164	11.71	2.7767	4.77	2.6031	Noun	373.0	0.62	Noun.Verb.Name	373.215.9	4.068535326	1
mountain	1805	885	1408	735	35.39	3.2567	10.55	2.9474	Noun	1797.0	1.0	Noun	1797	4.548551888	2
mountain	951	585	850	524	18.65	2.9786	6.97	2.7679	Noun	940.0	0.99	Noun.Verb.Name	940.4.1	4.270471091	2
mouse	975	400	750	323	19.12	2.9894	4.77	2.6031	Noun	886.0	0.93	Noun.Name	886.69	4.28128396	1
moved	3536	2394	3474	2366	69.33	3.5486	28.54	3.3793	Verb	3534.0	1.0	Verb.Adjective	3534.7	4.840469202	1
movement	757	553	708	533	14.84	2.8797	6.59	2.7435	Noun	759.0	1.0	Noun	759	4.171503348	2
move	1420	1067	1389	1052	27.84	3.1526	12.72	3.0286	Verb	778.0	0.55	Verb.Noun.Name	778.640.1	4.44442822	1
movie	2346	1275	2275	1254	46.0	3.3705	15.2	3.1059	Noun	2344.0	1.0	Noun.Verb	2344.1	4.662347232	2
m	2599	975	27	21	50.96	3.415	11.62	2.9894	Noun	422.0	1.0	Noun	422	4.70680749	1
mud	756	506	674	471	14.82	2.8791	6.03	2.705	Noun	755.0	1.0	Noun	755	4.170930022	1
mulder	1671	93	0	0	32.76	3.2232	1.11	1.9731	Verb	656.0	0.39	Verb.Name.Noun	656.564.444	4.515070415	2
mum	1108	312	491	212	21.73	3.0449	3.72	2.4955	Noun	1096.0	0.99	Noun.Name	1096.11	4.336765688	1
murdered	1967	1134	1850	1110	38.57	3.294	13.52	3.055	Verb	1716.0	0.87	Verb.Adjective	1716.253	4.585859236	2
