orderID,run,list,file_num,,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L
956,run4,5,list5_218_aisle_high1,2 syllable word,1,10,1,2,11,12,13,14,3500,11500,aisle,3.8716,1,17.5,5
968,run5,5,list5_3045_chase_high1,verb,1,10,1,2,11,12,13,14,3450,11450,chase,4.5156,1,44.25,5
970,run5,5,list5_2046_brat_high1,negative connotation,1,10,1,2,11,12,13,14,3200,11200,brat,3.7943,1,20,4
972,run5,5,list5_2693_cardinal_low3,2 syllable word,4,40,1,2,41,42,43,44,3200,11200,cardinal,3.612,3,82.57,8
1003,run1,6,list6_18439_tux_low1,"too close to treatment word ""tuxedo""",3,30,1,2,31,32,33,34,3250,11250,tux,3.5398,1,1.5,3
1010,run1,6,list6_3421_clutch_low1,"for me, the verb is what I think of first",3,30,1,2,31,32,33,34,3250,11250,clutch,3.399,1,28.2,6
1018,run1,6,list6_10654_mart_low1,"I don't know if I like ""mart"" as a word that isn't attached to something like ""Wal""",3,30,1,2,31,32,33,34,3300,11300,mart,3.2831,1,36.33,4
1021,run1,6,list6_4759_depression_high3,negative connotation,2,20,1,2,21,22,23,24,3350,11350,depression,3.9014,3,106.78,10
1029,run1,6,list6_10239_loneliness_high3,negative connotation,2,20,1,2,21,22,23,24,3400,11400,loneliness,3.7001,3,66,10
1031,run1,6,list6_16316_snob_low1,negative connotation,3,30,1,2,31,32,33,34,3200,11200,snob,3.3411,1,6,4
1036,run1,6,list6_9830_leap_high1,verb,1,10,1,2,11,12,13,14,3300,11300,leap,3.8246,1,31,4
1059,run2,6,list6_8851_incision_low3,??? Negative connotation,4,40,1,2,41,42,43,44,3350,11350,incision,3.3782,3,75.14,8
1060,run2,6,list6_18134_tragedy_high3,negative connotation,2,20,1,2,21,22,23,24,3200,11200,tragedy,4.1516,3,47.67,7
1063,run2,6,list6_8183_heck_high1,inappropriate,1,10,1,2,11,12,13,14,3400,11400,heck,4.2584,1,25,4
1082,run3,6,list6_13724_probation_high3,negative connotation,2,20,1,2,21,22,23,24,3350,11350,probation,3.769,3,122.38,9
1095,run3,6,list6_11643_nausea_low3,negative connotation,4,40,1,2,41,42,43,44,3250,11250,nausea,3.3372,3,36.8,6
1109,run3,6,list6_2704_caretaker_low3,possibly negative connotation,4,40,1,2,41,42,43,44,3500,11500,caretaker,3.3922,3,60.25,9
1113,run3,6,list6_19463_wound_high1,negative connotation,1,10,1,2,11,12,13,14,3200,11200,wound,4.4235,1,33.5,5
1119,run3,6,list6_10414_mag_low1,not a word,3,30,1,2,31,32,33,34,3200,11200,mag,3.1895,1,11,3
1120,run3,6,list6_3214_chump_low1,negative connotation,3,30,1,2,31,32,33,34,3200,11200,chump,3.6141,1,23.25,5
1126,run4,6,list6_10549_maniac_high3,"negative connotation, insensitive",2,20,1,2,21,22,23,24,3500,11500,maniac,3.9731,3,48.2,6
1127,run4,6,list6_10398_mackerel_low3,2 syllable word,4,40,1,2,41,42,43,44,3500,11500,mackerel,3.3293,3,77.43,8
1130,run4,6,list6_15707_sesame_low3,pretty sure this is an adjective...,4,40,1,2,41,42,43,44,3400,11400,sesame,3.1895,3,28.4,6
1142,run4,6,list6_4912_dictator_low3,negative connotation,4,40,1,2,41,42,43,44,3200,11200,dictator,3.3293,3,50.14,8
1145,run4,6,list6_16135_skull_high1,negative connotation,1,10,1,2,11,12,13,14,3450,11450,skull,4.1675,1,13.25,5
1146,run4,6,list6_8538_hospital_high3,negative connotation,2,20,1,2,21,22,23,24,3450,11450,hospital,5.0936,3,37.43,8
1147,run4,6,list6_5345_dread_low1,negative connotation,3,30,1,2,31,32,33,34,3250,11250,dread,3.4024,1,35,5
1157,run4,6,list6_6172_eyewitness_low3,weird compound word,4,40,1,2,41,42,43,44,3350,11350,eyewitness,3.5993,3,34.67,10
1160,run4,6,list6_13406_pong_low1,not a word,3,30,1,2,31,32,33,34,3400,11400,pong,3.2109,1,29,4
1161,run5,6,list6_552_anytime_high3,weird compound word,2,20,1,2,21,22,23,24,3200,11200,anytime,4.3884,3,45.17,7
1167,run5,6,list6_789_assassin_high3,negative connotation,2,20,1,2,21,22,23,24,3300,11300,assassin,3.7733,3,20.57,8
1172,run5,6,list6_14105_quid_low1,weird word,3,30,1,2,31,32,33,34,3350,11350,quid,3.5013,1,8.33,4
1186,run5,6,list6_10683_massacre_low3,negative connotation,4,40,1,2,41,42,43,44,3300,11300,massacre,3.5993,3,35.86,8
1192,run5,6,list6_7297_gent_low1,not a word,3,30,1,2,31,32,33,34,3250,11250,gent,3.2109,1,19.67,4
1198,run5,6,list6_8158_hearse_low1,negative connotation,3,30,1,2,31,32,33,34,3450,11450,hearse,3.2056,1,56.6,6
1201,run1,7,list7_3700_conception_low3,negative connotation,4,40,1,2,41,42,43,44,3350,11350,conception,3.3212,3,147.22,10
1215,run1,7,list7_15114_rye_low1,makes me thirsty! (also: insensitive to alcoholism),3,30,1,2,31,32,33,34,3300,11300,rye,3.6202,1,3.5,3
1225,run1,7,list7_5793_enema_low3,negative connotation,4,40,1,2,41,42,43,44,3300,11300,enema,3.1552,3,9.75,5
1234,run1,7,list7_14896_roach_low1,negative connotation; also only an abbreviation,3,30,1,2,31,32,33,34,3500,11500,roach,3.4254,1,41,5
1252,run2,7,list7_2479_cadillac_high3,this is only the name of a type of car; not an appropriate noun,2,20,1,2,21,22,23,24,3450,11450,cadillac,3.7587,3,35.29,8
1269,run2,7,list7_1919_borderline_low3,weird compound word,4,40,1,2,41,42,43,44,3250,11250,borderline,3.2056,3,99.22,10
1271,run2,7,list7_12873_period_high3,negative connotation,2,20,1,2,21,22,23,24,3450,11450,period,4.4435,3,40.2,6
1278,run2,7,list7_15072_rum_high1,insensitive to alcoholism,1,10,1,2,11,12,13,14,3450,11450,rum,3.875,1,6,3
1297,run3,7,list7_17830_thud_low1,not a word,3,30,1,2,31,32,33,34,3450,11450,thud,3.2918,1,8.67,4
1298,run3,7,list7_10346_lunatic_high3,inappropriate,2,20,1,2,21,22,23,24,3400,11400,lunatic,3.9293,3,42.83,7
1306,run3,7,list7_18221_trench_low1,could have negative connotations,3,30,1,2,31,32,33,34,3450,11450,trench,3.4905,1,45.8,6
1307,run3,7,list7_10751_mayflower_low3,"not a word, just the name of a boat",4,40,1,2,41,42,43,44,3400,11400,mayflower,3.1783,3,27.5,9
1311,run3,7,list7_15445_scotch_high1,insensitive to alcoholism,1,10,1,2,11,12,13,14,3350,11350,scotch,4.1686,1,26.6,6
1335,run4,7,list7_13900_pub_low1,insensitive to alcoholism,3,30,1,2,31,32,33,34,3200,11200,pub,3.5729,1,6.5,3
1354,run4,7,list7_15011_rouge_low1,french,3,30,1,2,31,32,33,34,3450,11450,rouge,3.5119,1,37,5
1358,run4,7,list7_9428_keg_low1,insensitive to alcoholism,3,30,1,2,31,32,33,34,3450,11450,keg,3.5373,1,4,3
1360,run4,7,list7_5009_disaster_high3,negative connotation,2,20,1,2,21,22,23,24,3400,11400,disaster,4.2373,3,100.14,8
1389,run5,7,list7_12141_oppression_low3,negative connotation,4,40,1,2,41,42,43,44,3200,11200,oppression,3.1783,3,92.11,10
1399,run5,7,list7_9113_invasion_high3,negative connotation,2,20,1,2,21,22,23,24,3300,11300,invasion,3.9303,3,66.14,8
