numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	 BF_TP|f	 LEN_L|f	   N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f
324	1118	afternoon	4666	4666	2597	4410	2505	91.49019608	3.669037801	30.96089652	3.414639147	Noun	4660	1	4.960871943	3	63.38	9	0	1	high	high3	2	20	1	2	21	22	23	24
327	1126	aftertaste	11	11	9	11	9	0.215686275	1.079181246	0.107296137	1	Noun	11	1	2.371015388	3	46.44	10	0	1	low	low3	4	40	1	2	41	42	43	44
338	1156	agency	991	991	588	773	482	19.43137255	2.996511672	7.010014306	2.770115295	Noun	988	1	4.288345814	3	16.6	6	0	1	high	high3	2	20	1	2	21	22	23	24
362	1222	agonist	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	50.67	7	0	1	low	low3	4	40	1	2	41	42	43	44
407	1343	airliner	29	29	23	29	23	0.568627451	1.477121255	0.27420124	1.380211242	Noun	29	1	2.768955397	3	78.57	8	1	1	low	low3	4	40	1	2	41	42	43	44
446	1454	albumin	4	4	4	2	2	0.078431373	0.698970004	0.047687172	0.698970004	Noun	4	1	1.990804146	3	13.83	7	0	1	low	low3	4	40	1	2	41	42	43	44
453	1470	alcohol	845	845	588	762	541	16.56862745	2.927370363	7.010014306	2.770115295	Noun	844	1	4.219204505	3	9.5	7	0	1	high	high3	2	20	1	2	21	22	23	24
469	1500	alertness	4	4	4	4	4	0.078431373	0.698970004	0.047687172	0.698970004	Noun	4	1	1.990804146	3	71.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
482	1549	aliens	491	491	215	433	198	9.62745098	2.691965103	2.563185503	2.334453751	Noun	494	1	3.983799245	2	42.8	6	0	1	high	high3	2	20	1	2	21	22	23	24
483	1556	alignment	67	67	47	66	47	1.31372549	1.832508913	0.560324273	1.681241237	Noun	66	1	3.124343055	3	46.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
502	1615	allergies	139	139	113	122	101	2.725490196	2.146128036	1.347162613	2.056904851	Noun	138	1	3.437962178	3	96.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
526	1685	almanac	43	43	27	17	13	0.843137255	1.643452676	0.321888412	1.447158031	Noun	43	1	2.935286819	3	18.17	7	0	1	low	low3	4	40	1	2	41	42	43	44
538	1711	alpaca	10	10	8	6	5	0.196078431	1.041392685	0.095374344	0.954242509	Noun	10	1	2.333226827	3	13.4	6	0	1	low	low3	4	40	1	2	41	42	43	44
572	1818	amateurs	176	176	143	146	123	3.450980392	2.247973266	1.704816404	2.158362492	Noun	174	1	3.539807409	3	56.43	8	0	1	low	low3	4	40	1	2	41	42	43	44
573	1821	amazement	36	36	34	34	33	0.705882353	1.568201724	0.405340963	1.544068044	Noun	36	1	2.860035866	3	44.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
574	1827	amazons	9	9	6	0	0	0.176470588	1	0.071530758	0.84509804	Noun	9	1	2.291834142	3	38.83	7	0	1	low	low3	4	40	1	2	41	42	43	44
584	1861	ambulance	1143	1143	727	1093	707	22.41176471	3.058426024	8.667143538	2.862131379	Noun	1142	1	4.350260167	3	43	9	0	1	high	high3	2	20	1	2	21	22	23	24
587	1868	ambushes	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	93.43	8	1	1	low	low3	4	40	1	2	41	42	43	44
608	1945	amnesty	68	68	46	38	26	1.333333333	1.838849091	0.54840248	1.672097858	Noun	68	1	3.130683233	3	25.33	7	0	1	low	low3	4	40	1	2	41	42	43	44
620	2004	amplitude	6	6	6	6	6	0.117647059	0.84509804	0.071530758	0.84509804	Noun	6	1	2.136932182	3	39.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
664	2130	ancestors	279	279	192	269	188	5.470588235	2.447158031	2.288984263	2.285557309	Noun	279	1	3.738992173	3	70.5	9	0	1	high	high3	2	20	1	2	21	22	23	24
665	2133	ancestry	24	24	22	24	22	0.470588235	1.397940009	0.262279447	1.361727836	Noun	24	1	2.689774151	3	44.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
670	2146	anchovy	7	7	7	6	6	0.137254902	0.903089987	0.083452551	0.903089987	Noun	7	1	2.194924129	3	16.83	7	0	1	low	low3	4	40	1	2	41	42	43	44
679	2177	anecdote	55	55	41	55	41	1.078431373	1.748188027	0.488793515	1.62324929	Noun	55	1	3.040022169	3	30.43	8	0	1	low	low3	4	40	1	2	41	42	43	44
755	2411	anteater	11	11	11	10	10	0.215686275	1.079181246	0.131139723	1.079181246	Noun	11	1	2.371015388	3	96	8	0	1	low	low3	4	40	1	2	41	42	43	44
757	2421	antelope	50	50	33	38	28	0.980392157	1.707570176	0.39341917	1.531478917	Noun	50	1	2.999404318	3	34.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
761	2427	antennas	22	22	14	21	13	0.431372549	1.361727836	0.166905103	1.176091259	Noun	22	1	2.653561978	3	40.43	8	1	1	low	low3	4	40	1	2	41	42	43	44
806	2569	ants	365	365	147	329	138	7.156862745	2.563481085	1.752503577	2.170261715	Noun	365	1	3.855315228	1	18.33	4	4	1	high	high1	1	10	1	2	11	12	13	14
821	2614	apathy	24	24	22	23	22	0.470588235	1.397940009	0.262279447	1.361727836	Noun	24	1	2.689774151	3	22.4	6	0	1	low	low3	4	40	1	2	41	42	43	44
839	2648	apnea	8	8	7	8	7	0.156862745	0.954242509	0.083452551	0.903089987	Noun	8	1	2.246076652	3	14.5	5	0	1	low	low3	4	40	1	2	41	42	43	44
856	2700	apparel	35	35	32	30	28	0.68627451	1.556302501	0.381497377	1.51851394	Noun	35	1	2.848136643	3	34.33	7	0	1	low	low3	4	40	1	2	41	42	43	44
877	2763	appliance	41	41	34	39	32	0.803921569	1.62324929	0.405340963	1.544068044	Noun	41	1	2.915083433	3	48.13	9	0	1	low	low3	4	40	1	2	41	42	43	44
879	2767	applicant	31	31	24	28	23	0.607843137	1.505149978	0.286123033	1.397940009	Noun	31	1	2.79698412	3	53.13	9	0	1	low	low3	4	40	1	2	41	42	43	44
884	2789	appraisal	39	39	29	38	28	0.764705882	1.602059991	0.345731998	1.477121255	Noun	39	1	2.893894133	3	37.88	9	0	1	low	low3	4	40	1	2	41	42	43	44
893	2856	apricots	14	14	13	14	13	0.274509804	1.176091259	0.154983309	1.146128036	Noun	14	1	2.467925401	3	53.14	8	0	1	low	low3	4	40	1	2	41	42	43	44
897	2865	aptitude	55	55	41	53	40	1.078431373	1.748188027	0.488793515	1.62324929	Noun	55	1	3.040022169	3	35.71	8	2	1	low	low3	4	40	1	2	41	42	43	44
932	2971	archery	40	40	22	33	20	0.784313725	1.612783857	0.262279447	1.361727836	Noun	40	1	2.904617999	3	80	7	1	1	low	low3	4	40	1	2	41	42	43	44
954	3051	argonaut	1	1	1	0	0	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	16.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
989	3152	aroma	69	69	64	67	63	1.352941176	1.84509804	0.762994754	1.812913357	Noun	69	1	3.136932182	3	24.5	5	0	1	low	low3	4	40	1	2	41	42	43	44
991	3160	arousal	19	19	15	16	12	0.37254902	1.301029996	0.178826896	1.204119983	Noun	19	1	2.592864138	3	53.17	7	0	1	low	low3	4	40	1	2	41	42	43	44
1006	3214	arrowheads	10	10	10	10	10	0.196078431	1.041392685	0.11921793	1.041392685	Noun	10	1	2.333226827	3	12.78	10	0	1	low	low3	4	40	1	2	41	42	43	44
1018	3243	arteries	86	86	75	84	74	1.68627451	1.939519253	0.894134478	1.880813592	Noun	86	1	3.231353395	3	138.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
1026	3263	artichokes	10	10	10	7	7	0.196078431	1.041392685	0.11921793	1.041392685	Noun	10	1	2.333226827	3	54	10	0	1	low	low3	4	40	1	2	41	42	43	44
1029	3274	artifacts	75	75	55	74	54	1.470588235	1.880813592	0.655698617	1.748188027	Noun	76	1	3.172647734	3	28.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
1032	3283	artisan	5	5	5	5	5	0.098039216	0.77815125	0.059608965	0.77815125	Noun	5	1	2.069985393	3	24.33	7	0	1	low	low3	4	40	1	2	41	42	43	44
1037	3290	artistry	24	24	22	24	22	0.470588235	1.397940009	0.262279447	1.361727836	Noun	24	1	2.689774151	3	49.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
1038	3295	arts	470	470	327	361	253	9.215686275	2.673020907	3.898426323	2.515873844	Noun	470	1	3.964855049	1	18.67	4	5	1	high	high1	1	10	1	2	11	12	13	14
1045	3315	ascendant	34	34	17	0	0	0.666666667	1.544068044	0.202670482	1.255272505	Noun	34	1	2.835902186	3	54	9	0	1	low	low3	4	40	1	2	41	42	43	44
1089	3449	assemblers	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	38.11	10	0	1	low	low3	4	40	1	2	41	42	43	44
1090	3451	assemblies	7	7	7	5	5	0.137254902	0.903089987	0.083452551	0.903089987	Noun	7	1	2.194924129	3	68.67	10	0	1	low	low3	4	40	1	2	41	42	43	44
1093	3460	assertion	14	14	14	14	14	0.274509804	1.176091259	0.166905103	1.176091259	Noun	14	1	2.467925401	3	118.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
1109	3518	assortment	37	37	34	37	34	0.725490196	1.579783597	0.405340963	1.544068044	Noun	37	1	2.871617739	3	45.56	10	0	1	low	low3	4	40	1	2	41	42	43	44
1115	3544	asterisk	23	23	7	15	7	0.450980392	1.380211242	0.083452551	0.903089987	Noun	23	1	2.672045384	3	69.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
1139	3649	athletics	32	32	20	24	16	0.62745098	1.51851394	0.238435861	1.322219295	Noun	32	1	2.810348082	3	61.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
1140	3658	atlases	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	103.17	7	0	1	low	low3	4	40	1	2	41	42	43	44
1157	3693	atria	4	4	4	4	4	0.078431373	0.698970004	0.047687172	0.698970004	Noun	4	1	1.990804146	3	7.25	5	0	1	low	low3	4	40	1	2	41	42	43	44
1166	3716	attachment	59	59	56	57	54	1.156862745	1.77815125	0.66762041	1.755874856	Noun	59	1	3.069985393	3	39	10	0	1	low	low3	4	40	1	2	41	42	43	44
1172	3744	attendee	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	48	8	1	1	low	low3	4	40	1	2	41	42	43	44
1188	3819	audibles	3	3	2	3	2	0.058823529	0.602059991	0.023843586	0.477121255	Noun	3	1	1.893894133	3	101.43	8	0	1	low	low3	4	40	1	2	41	42	43	44
1194	3839	auditor	24	24	15	23	14	0.470588235	1.397940009	0.178826896	1.204119983	Noun	24	1	2.689774151	3	21.5	7	0	1	low	low3	4	40	1	2	41	42	43	44
1224	3956	autoclave	4	4	4	4	4	0.078431373	0.698970004	0.047687172	0.698970004	Noun	4	1	1.990804146	3	27.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
1250	4035	avatar	14	14	8	12	7	0.274509804	1.176091259	0.095374344	0.954242509	Noun	14	1	2.467925401	3	19.8	6	0	1	low	low3	4	40	1	2	41	42	43	44
1254	4056	aversion	68	68	54	63	53	1.333333333	1.838849091	0.643776824	1.740362689	Noun	68	1	3.130683233	3	60.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
1265	4080	avoidance	26	26	24	21	19	0.509803922	1.431363764	0.286123033	1.397940009	Noun	26	1	2.723197906	3	32.75	9	0	1	low	low3	4	40	1	2	41	42	43	44
1304	4215	babes	177	177	138	159	129	3.470588235	2.250420002	1.645207439	2.1430148	Noun	177	1	3.542254144	1	75.25	5	4	1	low	low1	3	30	1	2	31	32	33	34
1343	4319	backpacker	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	22.22	10	0	1	low	low3	4	40	1	2	41	42	43	44
1345	4325	backpedals	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	12.89	10	0	1	low	low3	4	40	1	2	41	42	43	44
1359	4376	backwater	31	31	27	30	27	0.607843137	1.505149978	0.321888412	1.447158031	Noun	31	1	2.79698412	3	82.75	9	0	1	low	low3	4	40	1	2	41	42	43	44
1370	4417	badminton	19	19	15	14	13	0.37254902	1.301029996	0.178826896	1.204119983	Noun	19	1	2.592864138	3	56	9	0	1	low	low3	4	40	1	2	41	42	43	44
1397	4488	bakeries	6	6	6	6	6	0.117647059	0.84509804	0.071530758	0.84509804	Noun	6	1	2.136932182	3	135.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
1402	4507	balancer	2	2	1	2	1	0.039215686	0.477121255	0.011921793	0.301029996	Noun	2	1	1.768955397	3	66	8	2	1	low	low3	4	40	1	2	41	42	43	44
1405	4514	balconies	23	23	19	20	18	0.450980392	1.380211242	0.226514068	1.301029996	Noun	23	1	2.672045384	3	92.13	9	0	1	low	low3	4	40	1	2	41	42	43	44
1430	4577	balloonist	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	36.22	10	0	1	low	low3	4	40	1	2	41	42	43	44
1434	4585	ballplayer	32	32	22	31	21	0.62745098	1.51851394	0.262279447	1.361727836	Noun	32	1	2.810348082	3	25.89	10	0	1	low	low3	4	40	1	2	41	42	43	44
1439	4598	balms	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	1	32.25	5	5	1	low	low1	3	30	1	2	31	32	33	34
1453	4627	bananas	278	278	176	229	153	5.450980392	2.445604203	2.098235575	2.247973266	Noun	276	1	3.737438345	3	50.67	7	0	1	high	high3	2	20	1	2	21	22	23	24
1454	4634	bandages	168	168	131	158	127	3.294117647	2.227886705	1.561754888	2.120573931	Noun	168	1	3.519720847	3	113.43	8	1	1	low	low3	4	40	1	2	41	42	43	44
1455	4636	bandana	12	12	11	12	11	0.235294118	1.113943352	0.131139723	1.079181246	Noun	12	1	2.405777494	3	56.67	7	0	1	low	low3	4	40	1	2	41	42	43	44
1466	4656	bandleader	17	17	10	17	10	0.333333333	1.255272505	0.11921793	1.041392685	Noun	17	1	2.547106647	3	35.67	10	0	1	low	low3	4	40	1	2	41	42	43	44
1473	4670	bandwagon	24	24	23	21	20	0.470588235	1.397940009	0.27420124	1.380211242	Noun	24	1	2.689774151	3	47.88	9	0	1	low	low3	4	40	1	2	41	42	43	44
1480	4695	banishment	10	10	9	7	7	0.196078431	1.041392685	0.107296137	1	Noun	10	1	2.333226827	3	47.11	10	0	1	low	low3	4	40	1	2	41	42	43	44
1502	4761	baptism	61	61	36	55	31	1.196078431	1.792391689	0.429184549	1.568201724	Noun	61	1	3.084225832	3	70.33	7	0	1	low	low3	4	40	1	2	41	42	43	44
1510	4796	barbeques	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	69.63	9	1	1	low	low3	4	40	1	2	41	42	43	44
1516	4814	barbs	12	12	12	12	12	0.235294118	1.113943352	0.143061516	1.113943352	Noun	12	1	2.405777494	1	35.5	5	2	1	low	low1	3	30	1	2	31	32	33	34
1521	4845	bargainer	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	64.75	9	1	1	low	low3	4	40	1	2	41	42	43	44
1534	4886	barnacle	32	32	14	10	8	0.62745098	1.51851394	0.166905103	1.176091259	Noun	32	1	2.810348082	3	54.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
1536	4891	barns	21	21	21	20	20	0.411764706	1.342422681	0.250357654	1.342422681	Noun	21	1	2.634256823	1	47.25	5	7	1	low	low1	3	30	1	2	31	32	33	34
1601	5088	baths	161	161	121	153	117	3.156862745	2.209515015	1.442536958	2.086359831	Noun	161	1	3.501349157	1	29.75	5	5	1	low	low1	3	30	1	2	31	32	33	34
1607	5102	batt	4	4	2	1	1	0.078431373	0.698970004	0.023843586	0.477121255	Noun	4	1	1.990804146	1	20.67	4	5	1	low	low1	3	30	1	2	31	32	33	34
1610	5110	batteries	405	405	261	366	246	7.941176471	2.608526034	3.111587983	2.418301291	Noun	405	1	3.900360176	3	132.75	9	0	1	high	high3	2	20	1	2	21	22	23	24
1612	5124	battlement	8	8	6	8	6	0.156862745	0.954242509	0.071530758	0.84509804	Noun	8	1	2.246076652	3	49	10	0	1	low	low3	4	40	1	2	41	42	43	44
1630	5171	bazookas	13	13	11	10	8	0.254901961	1.146128036	0.131139723	1.079181246	Noun	13	1	2.437962178	3	14.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
1636	5198	beads	180	180	106	167	100	3.529411765	2.257678575	1.263710062	2.029383778	Noun	180	1	3.549512717	1	53	5	11	1	low	low1	3	30	1	2	31	32	33	34
1665	5290	beautician	11	11	10	8	7	0.215686275	1.079181246	0.11921793	1.041392685	Noun	11	1	2.371015388	3	28.56	10	0	1	low	low3	4	40	1	2	41	42	43	44
1679	5356	bedridden	17	17	17	13	13	0.333333333	1.255272505	0.202670482	1.255272505	Noun	17	1	2.547106647	3	36.63	9	0	1	low	low3	4	40	1	2	41	42	43	44
1700	5398	beekeeper	9	9	8	8	7	0.176470588	1	0.095374344	0.954242509	Noun	9	1	2.291834142	3	25.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
1701	5400	beekeeping	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	115	10	0	1	low	low3	4	40	1	2	41	42	43	44
1704	5413	beers	548	548	382	475	372	10.74509804	2.739572344	4.55412494	2.583198774	Noun	548	1	4.031406487	1	38.75	5	6	1	high	high1	1	10	1	2	11	12	13	14
1706	5417	beet	14	14	13	13	12	0.274509804	1.176091259	0.154983309	1.146128036	Noun	14	1	2.467925401	1	27	4	11	1	low	low1	3	30	1	2	31	32	33	34
1710	5423	beets	52	52	28	44	22	1.019607843	1.72427587	0.333810205	1.462397998	Noun	52	1	3.016110012	1	54.25	5	4	1	low	low1	3	30	1	2	31	32	33	34
1717	5463	beginnings	65	65	60	62	57	1.274509804	1.819543936	0.715307582	1.785329835	Noun	65	1	3.111378078	3	26.11	10	0	1	low	low3	4	40	1	2	41	42	43	44
1721	5495	behaviors	21	21	18	21	18	0.411764706	1.342422681	0.214592275	1.278753601	Noun	20	1	2.634256823	3	48.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
1725	5505	behemoth	10	10	9	10	9	0.196078431	1.041392685	0.107296137	1	Noun	10	1	2.333226827	3	19.43	8	0	1	low	low3	4	40	1	2	41	42	43	44
1729	5513	beholder	15	15	15	15	15	0.294117647	1.204119983	0.178826896	1.204119983	Noun	15	1	2.495954125	3	55.71	8	1	1	low	low3	4	40	1	2	41	42	43	44
1748	5611	bellyache	15	15	14	15	14	0.294117647	1.204119983	0.166905103	1.176091259	Noun	15	1	2.495954125	3	25.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
1752	5622	belongings	154	154	135	153	135	3.019607843	2.190331698	1.60944206	2.133538908	Noun	154	1	3.48216584	3	25.33	10	0	1	low	low3	4	40	1	2	41	42	43	44
1757	5649	bench	493	493	342	474	330	9.666666667	2.693726949	4.077253219	2.53529412	Noun	493	1	3.985561091	1	40.5	5	5	1	high	high1	1	10	1	2	11	12	13	14
1775	5746	bere	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	1	28	4	7	1	low	low1	3	30	1	2	31	32	33	34
1793	5841	bestseller	35	35	29	35	29	0.68627451	1.556302501	0.345731998	1.477121255	Noun	35	1	2.848136643	3	39.11	10	0	1	low	low3	4	40	1	2	41	42	43	44
1810	5897	beverage	119	119	99	112	92	2.333333333	2.079181246	1.180257511	2	Noun	119	1	3.371015388	3	63.57	8	1	1	low	low3	4	40	1	2	41	42	43	44
1826	5942	biases	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	104.6	6	1	1	low	low3	4	40	1	2	41	42	43	44
1834	5974	bicuspids	4	4	4	4	4	0.078431373	0.698970004	0.047687172	0.698970004	Noun	4	1	1.990804146	3	19.13	9	0	1	low	low3	4	40	1	2	41	42	43	44
1842	5996	bier	2	2	2	1	1	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	1	15	4	3	1	low	low1	3	30	1	2	31	32	33	34
1857	6044	bikes	145	145	91	140	89	2.843137255	2.164352856	1.084883166	1.963787827	Noun	145	1	3.456186998	1	71.25	5	4	1	low	low1	3	30	1	2	31	32	33	34
1878	6112	binaries	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	127.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
1895	6176	biomass	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	25	7	0	1	low	low3	4	40	1	2	41	42	43	44
1898	6191	biopsy	79	79	41	73	38	1.549019608	1.903089987	0.488793515	1.62324929	Noun	79	1	3.194924129	3	15	6	0	1	low	low3	4	40	1	2	41	42	43	44
1902	6196	biosphere	5	5	4	4	3	0.098039216	0.77815125	0.047687172	0.698970004	Noun	4	1	2.069985393	3	34.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
1947	6333	blackberry	38	38	27	21	14	0.745098039	1.591064607	0.321888412	1.447158031	Noun	38	1	2.882898749	3	23.78	10	0	1	low	low3	4	40	1	2	41	42	43	44
1985	6505	blemishes	12	12	10	12	10	0.235294118	1.113943352	0.11921793	1.041392685	Noun	10	1	2.405777494	3	72.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
