num,X,Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,cmu_sylls
117,478,achievers,9,5,4,3,0.176470588,1,0.059608965,0.77815125,Noun,9,1,Noun,9,2.291834142,3
126,513,acolyte,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,3
127,514,acolytes,6,4,6,4,0.117647059,0.84509804,0.047687172,0.698970004,Noun,6,1,Noun,6,2.136932182,3
131,522,acoustics,22,22,22,22,0.431372549,1.361727836,0.262279447,1.361727836,Noun,22,1,Noun,22,2.653561978,3
133,544,acquittal,37,33,36,32,0.725490196,1.579783597,0.39341917,1.531478917,Noun,37,1,Noun,37,2.871617739,3
134,545,acquittals,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
136,549,acreage,22,19,22,19,0.431372549,1.361727836,0.226514068,1.301029996,Noun,22,1,Noun,22,2.653561978,3
141,560,acronym,15,14,14,13,0.294117647,1.204119983,0.166905103,1.176091259,Noun,15,1,Noun,15,2.495954125,3
142,561,acronyms,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,3
144,566,acrylics,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
152,589,activist,50,40,47,37,0.980392157,1.707570176,0.476871722,1.612783857,Noun,50,1,Noun,50,2.999404318,3
153,590,activists,18,14,17,13,0.352941176,1.278753601,0.166905103,1.176091259,Noun,18,1,Noun,18,2.570587743,3
157,598,actresses,115,91,108,87,2.254901961,2.064457989,1.084883166,1.963787827,Noun,115,1,Noun,115,3.356292131,3
167,621,acumen,7,5,7,5,0.137254902,0.903089987,0.059608965,0.77815125,Noun,7,1,Noun,7,2.194924129,3
168,628,acuteness,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
174,647,adapter,11,7,11,7,0.215686275,1.079181246,0.083452551,0.903089987,Noun,11,1,Noun,11,2.371015388,3
176,651,adaptor,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
177,652,adaptors,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
179,659,addendum,15,12,10,7,0.294117647,1.204119983,0.143061516,1.113943352,Noun,15,1,Noun,15,2.495954125,3
180,660,addendums,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
182,666,addiction,199,130,192,126,3.901960784,2.301029996,1.549833095,2.117271296,Noun,199,1,Noun,199,3.592864138,3
185,678,additions,11,10,11,10,0.215686275,1.079181246,0.11921793,1.041392685,Noun,11,1,Noun,11,2.371015388,3
186,680,additives,10,8,10,8,0.196078431,1.041392685,0.095374344,0.954242509,Noun,10,1,Noun,10,2.333226827,3
188,688,addressee,6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,Noun,6,1,Noun,6,2.136932182,3
191,704,adenoids,11,9,9,8,0.215686275,1.079181246,0.107296137,1,Noun,11,1,Noun,11,2.371015388,3
197,717,adherence,9,9,8,8,0.176470588,1,0.107296137,1,Noun,9,1,Noun,9,2.291834142,3
198,718,adherent,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
199,719,adherents,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
200,722,adhesion,6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,Noun,6,1,Noun,6,2.136932182,3
202,725,adhesives,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
205,735,adjective,25,21,23,20,0.490196078,1.414973348,0.250357654,1.342422681,Noun,25,1,Noun,25,2.70680749,3
206,736,adjectives,25,23,24,22,0.490196078,1.414973348,0.27420124,1.380211242,Noun,25,1,Noun,25,2.70680749,3
208,759,adjuster,20,17,19,16,0.392156863,1.322219295,0.202670482,1.255272505,Noun,20,1,Noun,20,2.614053437,3
209,760,adjusters,7,3,7,3,0.137254902,0.903089987,0.035765379,0.602059991,Noun,7,1,Noun,7,2.194924129,3
210,762,adjustment,158,129,152,125,3.098039216,2.201397124,1.537911302,2.113943352,Noun,157,1,Noun,157,3.493231266,3
212,766,adjutant,45,26,36,20,0.882352941,1.662757832,0.309966619,1.431363764,Noun,45,1,Noun,45,2.954591974,3
214,787,admirals,29,21,19,15,0.568627451,1.477121255,0.250357654,1.342422681,Noun,29,1,Noun,29,2.768955397,3
217,792,admirer,151,124,149,123,2.960784314,2.181843588,1.478302337,2.096910013,Noun,151,1,Noun,151,3.47367773,3
218,793,admirers,49,44,48,44,0.960784314,1.698970004,0.524558894,1.653212514,Noun,49,1,Noun,49,2.990804146,3
219,798,admission,181,164,167,153,3.549019608,2.260071388,1.955174058,2.217483944,Noun,181,1,Noun,181,3.55190553,3
220,802,admittance,34,25,30,21,0.666666667,1.544068044,0.298044826,1.414973348,Noun,34,1,Noun,34,2.835902186,3
226,819,adobe,24,14,8,8,0.470588235,1.397940009,0.166905103,1.176091259,Noun,23,1,Noun,23,2.689774151,3
227,831,adopter,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
228,833,adoption,239,140,227,135,4.68627451,2.380211242,1.669051025,2.149219113,Noun,239,1,Noun,239,3.672045384,3
229,834,adoptions,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,3
232,851,adornment,4,3,4,3,0.078431373,0.698970004,0.035765379,0.602059991,Noun,4,1,Noun,4,1.990804146,3
237,866,ads,258,180,242,173,5.058823529,2.413299764,2.145922747,2.257678575,Noun,258,1,Noun,258,3.705133906,1
242,879,adulthood,37,33,37,33,0.725490196,1.579783597,0.39341917,1.531478917,Noun,36,1,Noun,36,2.871617739,3
247,895,adventists,7,2,0,0,0.137254902,0.903089987,0.023843586,0.477121255,Noun,7,1,Noun,7,2.194924129,3
249,899,adventures,184,142,150,124,3.607843137,2.267171728,1.692894611,2.155336037,Noun,184,1,Noun,184,3.559005871,3
261,936,advisement,39,37,39,37,0.764705882,1.602059991,0.441106342,1.579783597,Noun,39,1,Noun,39,2.893894133,3
262,937,adviser,53,45,49,41,1.039215686,1.73239376,0.536480687,1.662757832,Noun,53,1,Noun,53,3.024227902,3
263,938,advisers,13,11,13,11,0.254901961,1.146128036,0.131139723,1.079181246,Noun,13,1,Noun,13,2.437962178,3
264,943,advisors,66,45,60,44,1.294117647,1.826074803,0.536480687,1.662757832,Noun,66,1,Noun,66,3.117908945,3
266,949,advocates,17,16,15,15,0.333333333,1.255272505,0.190748689,1.230448921,Noun,17,1,Noun,17,2.547106647,3
271,966,aerials,9,7,8,6,0.176470588,1,0.083452551,0.903089987,Noun,9,1,Noun,9,2.291834142,3
275,974,aerodromes,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
279,986,aerosol,14,10,14,10,0.274509804,1.176091259,0.11921793,1.041392685,Noun,14,1,Noun,14,2.467925401,3
280,988,aerosols,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
281,989,aerospace,55,34,33,24,1.078431373,1.748188027,0.405340963,1.544068044,Noun,55,1,Noun,55,3.040022169,3
285,998,aesthetics,15,13,12,11,0.294117647,1.204119983,0.154983309,1.146128036,Noun,15,1,Noun,15,2.495954125,3
292,1023,affection,431,334,419,330,8.450980392,2.635483747,3.981878875,2.525044807,Noun,430,1,Noun,430,3.927317889,3
293,1026,affections,61,52,61,52,1.196078431,1.792391689,0.619933238,1.72427587,Noun,61,1,Noun,61,3.084225832,3
294,1032,affiant,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
302,1057,affliction,60,53,58,51,1.176470588,1.785329835,0.631855031,1.73239376,Noun,60,1,Noun,60,3.077163977,3
303,1061,affluence,7,6,6,5,0.137254902,0.903089987,0.071530758,0.84509804,Noun,7,1,Noun,7,2.194924129,3
306,1073,afghani,6,5,0,0,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,3
307,1074,afghanis,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
312,1096,africans,54,23,0,0,1.058823529,1.740362689,0.27420124,1.380211242,Noun,54,1,Noun,54,3.032196832,3
313,1097,afrikaans,3,1,0,0,0.058823529,0.602059991,0.011921793,0.301029996,Noun,3,1,Noun,3,1.893894133,3
319,1112,afterlife,81,62,79,61,1.588235294,1.913813852,0.739151168,1.799340549,Noun,82,1,Noun,82,3.205647995,3
321,1115,aftermath,53,51,51,49,1.039215686,1.73239376,0.608011445,1.716003344,Noun,53,1,Noun,53,3.024227902,3
322,1116,aftermaths,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
324,1118,afternoon,4666,2597,4410,2505,91.49019608,3.669037801,30.96089652,3.414639147,Noun,4660,1,Noun,4660,4.960871943,3
325,1119,afternoons,101,90,99,88,1.980392157,2.008600172,1.072961373,1.959041392,Noun,101,1,Noun,101,3.300434314,3
327,1126,aftertaste,11,9,11,9,0.215686275,1.079181246,0.107296137,1,Noun,11,1,Noun,11,2.371015388,3
337,1155,agencies,164,134,161,132,3.215686275,2.217483944,1.597520267,2.130333768,Noun,164,1,Noun,164,3.509318086,3
338,1156,agency,991,588,773,482,19.43137255,2.996511672,7.010014306,2.770115295,Noun,988,1,Noun,988,4.288345814,3
339,1158,agendas,21,20,19,18,0.411764706,1.342422681,0.238435861,1.322219295,Noun,21,1,Noun,21,2.634256823,3
344,1183,aggression,143,109,134,105,2.803921569,2.158362492,1.299475441,2.041392685,Noun,143,1,Noun,143,3.450196634,3
345,1188,aggressor,29,23,27,22,0.568627451,1.477121255,0.27420124,1.380211242,Noun,29,1,Noun,29,2.768955397,3
346,1189,aggressors,15,14,15,14,0.294117647,1.204119983,0.166905103,1.176091259,Noun,15,1,Noun,15,2.495954125,3
357,1209,agitprop,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
361,1219,agonies,12,9,10,8,0.235294118,1.113943352,0.107296137,1,Noun,12,1,Noun,12,2.405777494,3
362,1222,agonist,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
363,1226,agony,191,171,176,159,3.745098039,2.283301229,2.038626609,2.235528447,Noun,191,1,Noun,191,3.575135371,3
364,1227,agora,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
367,1242,agreement,892,603,867,594,17.49019608,2.950851459,7.188841202,2.781036939,Noun,887,1,Noun,887,4.242685601,3
368,1243,agreements,41,35,40,35,0.803921569,1.62324929,0.417262756,1.556302501,Noun,42,1,Noun,42,2.915083433,3
370,1255,aguacate,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
375,1273,ahs,4,4,2,2,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,1
377,1278,aide,103,81,87,70,2.019607843,2.017033339,0.965665236,1.913813852,Noun,103,1,Noun,103,3.308867481,1
379,1281,aides,32,28,32,28,0.62745098,1.51851394,0.333810205,1.462397998,Noun,32,1,Noun,32,2.810348082,1
381,1287,aileron,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
382,1288,ailerons,4,3,4,3,0.078431373,0.698970004,0.035765379,0.602059991,Noun,4,1,Noun,4,1.990804146,3
407,1343,airliner,29,23,29,23,0.568627451,1.477121255,0.27420124,1.380211242,Noun,29,1,Noun,29,2.768955397,3
408,1344,airliners,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,3
423,1377,ais,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,2,1,Noun,2,1.893894133,1
424,1378,aisle,379,284,343,263,7.431372549,2.579783597,3.385789223,2.45484486,Noun,379,1,Noun,379,3.871617739,1
425,1379,aisles,37,32,37,32,0.725490196,1.579783597,0.381497377,1.51851394,Noun,37,1,Noun,37,2.871617739,1
430,1396,akimbo,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
437,1422,alarmist,17,17,16,16,0.333333333,1.255272505,0.202670482,1.255272505,Noun,17,1,Noun,17,2.547106647,3
440,1429,alaskans,2,2,0,0,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
446,1454,albumin,4,4,2,2,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
450,1464,alchemist,14,10,12,8,0.274509804,1.176091259,0.11921793,1.041392685,Noun,14,1,Noun,14,2.467925401,3
452,1467,alchemy,11,9,8,7,0.215686275,1.079181246,0.107296137,1,Noun,11,1,Noun,11,2.371015388,3
453,1470,alcohol,845,588,762,541,16.56862745,2.927370363,7.010014306,2.770115295,Noun,844,1,Noun,844,4.219204505,3
461,1482,aldermen,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
463,1486,ale,202,123,183,115,3.960784314,2.307496038,1.466380544,2.093421685,Noun,202,1,Noun,202,3.59933018,1
469,1500,alertness,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
470,1502,ales,5,5,5,5,0.098039216,0.77815125,0.059608965,0.77815125,Noun,5,1,Noun,5,2.069985393,1
474,1527,algonquin,10,9,0,0,0.196078431,1.041392685,0.107296137,1,Noun,10,1,Noun,10,2.333226827,3
478,1538,alibi,426,249,417,241,8.352941176,2.630427875,2.968526466,2.397940009,Noun,428,1,Noun,428,3.922262017,3
479,1541,alibis,58,50,54,46,1.137254902,1.770852012,0.596089652,1.707570176,Noun,58,1,Noun,58,3.062686154,3
482,1549,aliens,491,215,433,198,9.62745098,2.691965103,2.563185503,2.334453751,Noun,494,1,Noun,494,3.983799245,3
483,1556,alignment,67,47,66,47,1.31372549,1.832508913,0.560324273,1.681241237,Noun,66,1,Noun,66,3.124343055,3
484,1557,alignments,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
489,1575,alkaloid,8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,Noun,8,1,Noun,8,2.246076652,3
490,1576,alkaloids,3,3,2,2,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
495,1596,allegiance,159,128,133,106,3.117647059,2.204119983,1.525989509,2.11058971,Noun,161,1,Noun,161,3.495954125,3
498,1604,allele,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,1,1,Noun,1,1.768955397,3
499,1605,alleles,12,9,12,9,0.235294118,1.113943352,0.107296137,1,Noun,12,1,Noun,12,2.405777494,3
500,1612,allergen,3,2,3,2,0.058823529,0.602059991,0.023843586,0.477121255,Noun,3,1,Noun,3,1.893894133,3
501,1613,allergens,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
502,1615,allergies,139,113,122,101,2.725490196,2.146128036,1.347162613,2.056904851,Noun,138,1,Noun,138,3.437962178,3
503,1616,allergist,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
504,1617,allergists,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
505,1618,allergy,86,66,81,65,1.68627451,1.939519253,0.78683834,1.826074803,Noun,84,1,Noun,84,3.231353395,3
507,1625,alleyway,40,36,39,35,0.784313725,1.612783857,0.429184549,1.568201724,Noun,39,1,Noun,39,2.904617999,3
508,1626,alleyways,8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,Noun,8,1,Noun,8,2.246076652,3
509,1630,alliance,465,190,174,115,9.117647059,2.668385917,2.265140677,2.281033367,Noun,471,1,Noun,471,3.960220059,3
515,1651,allotment,19,18,19,18,0.37254902,1.301029996,0.214592275,1.278753601,Noun,19,1,Noun,19,2.592864138,3
516,1652,allotments,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
522,1677,allusion,6,5,6,5,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,3
523,1678,allusions,6,4,5,4,0.117647059,0.84509804,0.047687172,0.698970004,Noun,6,1,Noun,6,2.136932182,3
526,1685,almanac,43,27,17,13,0.843137255,1.643452676,0.321888412,1.447158031,Noun,43,1,Noun,43,2.935286819,3
529,1693,alms,25,13,10,10,0.490196078,1.414973348,0.154983309,1.146128036,Noun,24,1,Noun,24,2.70680749,1
538,1711,alpaca,10,8,6,5,0.196078431,1.041392685,0.095374344,0.954242509,Noun,10,1,Noun,10,2.333226827,3
540,1715,alphabet,127,87,89,77,2.490196078,2.10720997,1.037195994,1.944482672,Noun,126,1,Noun,126,3.399044112,3
543,1737,altarpiece,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
549,1766,altitudes,11,10,11,10,0.215686275,1.079181246,0.11921793,1.041392685,Noun,12,1,Noun,12,2.371015388,3
554,1777,alumna,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
555,1778,alumnae,4,1,4,1,0.078431373,0.698970004,0.011921793,0.301029996,Noun,4,1,Noun,4,1.990804146,3
556,1780,alumnus,24,19,24,19,0.470588235,1.397940009,0.226514068,1.301029996,Noun,24,1,Noun,24,2.689774151,3
562,1796,amalgam,9,5,9,5,0.176470588,1,0.059608965,0.77815125,Noun,9,1,Noun,9,2.291834142,3
567,1804,amaranth,2,1,1,1,0.039215686,0.477121255,0.011921793,0.301029996,Noun,2,1,Noun,2,1.768955397,3
572,1818,amateurs,176,143,146,123,3.450980392,2.247973266,1.704816404,2.158362492,Noun,174,1,Noun,174,3.539807409,3
573,1821,amazement,36,34,34,33,0.705882353,1.568201724,0.405340963,1.544068044,Noun,36,1,Noun,36,2.860035866,3
574,1827,amazons,9,6,0,0,0.176470588,1,0.071530758,0.84509804,Noun,9,1,Noun,9,2.291834142,3
575,1835,ambergris,10,4,8,4,0.196078431,1.041392685,0.047687172,0.698970004,Noun,10,1,Noun,10,2.333226827,3
577,1837,ambiance,8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,Noun,8,1,Noun,8,2.246076652,3
578,1839,ambience,37,35,37,35,0.725490196,1.579783597,0.417262756,1.556302501,Noun,38,1,Noun,38,2.871617739,3
581,1846,ambition,273,233,257,221,5.352941176,2.437750563,2.777777778,2.369215857,Noun,273,1,Noun,273,3.729584705,3
582,1847,ambitions,93,84,93,84,1.823529412,1.973127854,1.001430615,1.929418926,Noun,93,1,Noun,93,3.264961996,3
584,1861,ambulance,1143,727,1093,707,22.41176471,3.058426024,8.667143538,2.862131379,Noun,1142,1,Noun,1142,4.350260167,3
587,1868,ambushes,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
589,1884,amendment,209,115,83,52,4.098039216,2.322219295,1.371006199,2.064457989,Noun,209,1,Noun,209,3.614053437,3
590,1885,amendments,19,18,17,17,0.37254902,1.301029996,0.214592275,1.278753601,Noun,19,1,Noun,19,2.592864138,3
596,1909,amicus,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
599,1923,amino,31,22,30,21,0.607843137,1.505149978,0.262279447,1.361727836,Noun,31,1,Noun,31,2.79698412,3
601,1932,ammeter,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
602,1934,ammonia,76,49,60,44,1.490196078,1.886490725,0.584167859,1.698970004,Noun,76,1,Noun,76,3.178324867,3
605,1939,amnesia,189,112,162,99,3.705882353,2.278753601,1.33524082,2.053078443,Noun,189,1,Noun,189,3.570587743,3
608,1945,amnesty,68,46,38,26,1.333333333,1.838849091,0.54840248,1.672097858,Noun,68,1,Noun,68,3.130683233,3
610,1977,amp,93,73,73,60,1.823529412,1.973127854,0.870290892,1.86923172,Noun,92,1,Noun,92,3.264961996,1
611,1979,amperage,5,3,5,3,0.098039216,0.77815125,0.035765379,0.602059991,Noun,5,1,Noun,5,2.069985393,3
613,1981,ampersand,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
616,1993,amphora,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
620,2004,amplitude,6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,Noun,6,1,Noun,6,2.136932182,3
626,2016,amputee,10,9,9,8,0.196078431,1.041392685,0.107296137,1,Noun,10,1,Noun,10,2.333226827,3
627,2017,amputees,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
629,2024,amulet,118,37,117,36,2.31372549,2.075546961,0.441106342,1.579783597,Noun,116,1,Noun,116,3.367381104,3
630,2025,amulets,15,6,14,5,0.294117647,1.204119983,0.071530758,0.84509804,Noun,17,1,Noun,17,2.495954125,3
631,2029,amusement,191,146,178,142,3.745098039,2.283301229,1.740581784,2.167317335,Noun,191,1,Noun,191,3.575135371,3
632,2030,amusements,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,3
640,2066,anagram,26,20,25,20,0.509803922,1.431363764,0.238435861,1.322219295,Noun,26,1,Noun,26,2.723197906,3
